sehir,isim,adres
 ANKARA, DENİZCİLER CAD.," MİSAKI MİLLİ MAH. DENİZCİLER CAD. NO:15 D:A     
 İSTANBUL, DENİZ OTOWAX," KAYNARCA MAH. AYDINLI CAD. NO:230 D:A     
 İSTANBUL, DENİZ OTOPARK," BAHÇELİEVLER MAH. BAĞCILAR CAD. NO:25 D:1     
 ZONGULDAK, DENİZ KULÜBÜ OTOPARK," YAYLA MAH. FENER CAD. NO:54    
 DIYARBAKıR, DENİZ KAPALI OTOPARK," 5 NİSAN MAH. TEYMEN CAD. NO:38    
 İSTANBUL, DEMİROĞLU OTOPARK," NİŞANCI MAH. ÇÖMLEKÇİLER CAD.     
 ŞANLURFA, DEMİRKOL OTOPARK," ATATÜRK MAH. 11 NİSAN FUAR CAD. NO:8    
 İSTANBUL, DEMİRHİSAR CAD.," MURATPAŞA MAH. DEMİRHİSAR CAD. NO:1 DAİRE:146     
 İSTANBUL, DEMİREL," MEŞRUTİYET MAH. TUĞRUL SOKAK NO:6 D:F     
 ESKIŞEHIR, DEMİRCİLER SOKAK," İSTİKLAL MAH. DEMİRCİLER SOKAK NO:35     
 ZONGULDAK, DEMİR PARK," İNCİVEZ MAH. MİLLİ EGEMENLİK CAD. NO:21    
 ZONGULDAK, DEMET OTO YIKAMA PARK," MEŞRUTİYET MAH. İSTİKLAL SOKAK NO:10    
 İSTANBUL, DEĞİRMEN ARKASI SOKAK," KÜÇÜK PİYALE MAH. DEĞİRMEN ARKASI SOKAK NO:22 DAİRE:A     
 İSTANBUL, DEDEOĞLU OTOPARK," HOCA ÜVEYZ MAH. OKUMUŞ ADAM SOKAĞI NO:16 D:A     
 İSTANBUL, DEDEOĞLU OTOMOTİV OTOPARK YIKAMA YAĞLAMA," FATİH MAH. 201. SOK.  NO:25     
 SAKARYA, DEDEOĞLU," SEMERCİLER MAH. LÜLECİ SOKAK NO:32     
 İSTANBUL, DEDEMAN TİCARET MERKEZİ OTOPARK," GAYRETTEPE MAH. YENER SOK.      
 SAMSUN, DAYIOĞLU," KALE MAH. SAHİL CAD.     
 İSTANBUL, DAVUTPAŞA MERKEZEFENDİ CAD.," MALTEPE MAH. DAVUTPAŞA MERKEZEFENDİ CAD. NO:6 İPEK İŞ MERKEZİ   
  ZEYTİNBURNU
 KOCAELI, DARICA OTOPARK," BAĞLARBAŞI MAH. İSTASYON CAD. NO:365     
 MUĞLA, DAPNE," ÇARŞI MAH. DR EKREM USLU ÇIKMAZI NO:8     
 ANTALYA, DAMLATAŞ OTOPARKI," SARAY MAH. DAMLATAŞ CAD.     
 İSTANBUL, DAMLA OTOPARK," CUMHURİYET MAH. AŞIK VEYSEL CAD. NO:8 D:A     
 İSTANBUL, DAMLA OTO KUAFÖRÜ," KAZIM KARABEKİR MAH. 1044. SOK.  NO:84 D:A     
 İZMIR, DALLI OĞLU OTOPARK," OĞUZLAR MAH. 1250. SOKAK NO:72     
 DÜZCE, DALGIÇ OTOPARK," BURHANİYE MAH. GENERAL KAZIM SOKAK NO:6 D:A    
 İSTANBUL, DALBASTI SOKAK,"
 ANKARA, DAĞLI OTOPARK," DOĞANBEY MAH. CELAL ATİK SOKAK NO:5 D:A     
 İZMIR, DAĞLI KARDEŞLER OTOPARKI," ETİLER MAH. 1250 SOKAK NO:54     
 ANKARA, DAĞLI," DOĞANBEY MAH. CELAL ATİK SOKAK NO:5 D:Z     
 İSTANBUL, DADAŞ OTOPARK," CAFERAĞA MAH. NAILBEY SOK. NO:42 D:A     
 KOCAELI, ÇUKURÇEŞME SOKAK," VELİ AHMET MAH. CENGİZ SİLLE SOKAĞI NO:11 D:A     
  İZMİT
 KOCAELI, ÇUKURBAĞ GEÇİDİ SOKAK," CEDİT MAH. CEVDET BAĞDAT SOKAĞI NO:3     
 İSTANBUL, ÇOŞKUN OTOPARK," SANAYİ MAH. MİNE SOKAĞI NO:23     
 ZONGULDAK, ÇOLAKOĞLU OTOPARK," ÇAY MAH. ÖMER KALAYCI CAD. NO:10    
 İZMIR, ÇOK KATLI OTOPARK," ALTINORDU MAH. ANAFARTALAR CAD. NO:1     
 İSTANBUL, ÇİLEK OTOPARK," BATI MAH. ÇİLEK SOK. NO:5 D:K     
 İSTANBUL, ÇİL OTOPARK," DUATEPE MAH. BARUTÇULAR SOKAK NO:16     
 İSTANBUL, ÇİĞDEM SOKAK," SİNANPAŞA MAH. ÇİĞDEM SOKAK     
 İSTANBUL, ÇİĞDEM SOKAK,"
 DENIZLI, ÇİÇEK OTOPARK," SIRAKAPILAR Mah. MİMAR SİNAN CAD.  NO:7    
 İSTANBUL, ÇİÇEK OTOPARK," MECİDİYEKÖY MAH. DEREBOYU CAD. NO:102 D:C     
 İSTANBUL, ÇİÇEK OTOPARK," MERKEZ MAH. HASAT SOKAK NO:35     
 İSTANBUL, ÇİÇEK," ŞEHREMİNİ MAH. MEVLANAKAPI CAD. NO:90 D:A     
 İSTANBUL, ÇIRAĞAN SOKAĞI," YILDIZ MAH. ÇIRAĞAN SOKAĞI     
 İSTANBUL, ÇINAR OTOPARK," İZZETPAŞA MAH. ÇINAR SOKAK NO:6     
 İSTANBUL, ÇINAR," BEYLERBEYI MAH. ESKİÇINAR SOKAK NO:10     
 İSTANBUL, ÇEVRE OTOPARKI," SEYYİD ÖMER MAH. TAŞKÖPRÜLÜZADE SOKAĞI NO:35     
 İSTANBUL, ÇETİNKAYA OTOPARKI," ESKİŞEHİR MAH. MARSIK SOKAĞI NO:94 D:A     
 MERSIN, ÇETİNKAYA OTOPARK," TURGUTREİS MAH. İSTİKLAL CAD. NO:220     
 İSTANBUL, ÇETİNKAYA AÇIK OTOPARK," NECİP FAZIL MAH. DİLBER SOKAK     
 TEKIRDAĞ, ÇETİN OTOPARK," YAVUZ Mah. LİSE CAD.  NO:1    
 HATAY, ÇETİN EMEÇ OTOPARK," ORHANLI MAH. KURTULUŞ CAD. NO:1    
 İSTANBUL, ÇEŞME OTOPARK," KURUÇEŞME MAH. KIRBAÇ SOK.  NO:35     
 İSTANBUL, ÇEMBERLİTAŞ TURİST OTOPARKI,"
 İSTANBUL, ÇEMBERLİTAŞ AÇIK OTOPARKI,"
 İSTANBUL, ÇELİKTEPE KATLI,"
 İSTANBUL, ÇELİKTEPE İNÖNÜ CD.,"
 ANTALYA, ÇELİKHAN OTO PARKI," GÜLLER PINARI MAH. YAĞCILAR SOKAK     
 İSTANBUL, ÇELİK TIR VE KAMYON OTO PARKI," DEMİRKAPI MAH. İNÖNÜ CAD. NO:12 DAİRE:A     
 AFYON, ÇELİK OTOPARK VE YEDİEMİN DEPOSU," H KARAĞAÇ MAH HUZUR EVİ YOLU ÜZERİ NO:16
  03040 
 MERSIN, ÇELİK OTOPARK," NUSRATİYE MAH. 5001. SOKAK NO:13     
 MERSIN, ÇELİK KAPALI OTOPARK," MESUDİYE MAH. 5129 SOKAK NO:3     
 İSTANBUL, ÇEKMECE," FATİH MAH. İSTANBUL CAD. NO:6 D:B     
 DIYARBAKıR, ÇEKLİ," YENİŞEHİR MAH. ALİ EMİRİ 1. SOKAK NO:7 DAİRE:C    
 DENIZLI, ÇEKİÇ OTOPARK," TOPRAKLIK MAH. KAYALIK CAD. NO:5    
 İSTANBUL, ÇAYIROĞLU OTOPARK," ŞİRİNEVLER MAH. KERİMÇAVUŞ CAD. NO:14     
 GAZIANTEP, ÇAYIRLI OTOPARK," ÇUKUR MAH. İSMAİL SAY SOKAK NO:8 D:H    
 İSTANBUL, ÇAYIRÇİMEN SOK.  İSPARK," LEVENT MAH. ÇAYIR ÇİMEN SOK.      
 İSTANBUL, ÇAYIRBAŞI OTOPARK," ÇAYIRBAŞI MAH. BAHÇEKÖY CAD. NO:14     
 ZONGULDAK, ÇAYCUMASPOR KULÜBÜ OTOPARK," ÇAY MAH. GÜNEŞ MÜFTÜOĞLU SOKAK NO:10    
 ANTALYA, ÇAVUŞOĞLU OTOPARK," ELMALI MAH. 7. SOKAK NO:37     
 ANTALYA, ÇATAL KÖPRÜ CAD.," MURATPAŞA MAH. ÇATAL KÖPRÜ CAD.     
 MERSIN, ÇARŞI OTOPARK 2," CAMİ ŞERİF MAH. ÇAKMAK CAD. NO:25 D:E     
 İSTANBUL, ÇARŞI OTOPARK," MERKEZ MAH. ÇARŞI SOKAK NO:1 D:F     
 İSTANBUL, ÇARŞI CAD. İSPARK," LEVENT MAH. ÇARŞI CAD.     
 ANKARA, ÇANKIRI CAD.," HACI BAYRAM MAH. ÇANKIRI CAD. NO:74     
 ANKARA, ÇANKIRI CAD.," DOĞANBEY MAH. ÇANKIRI CAD. NO:77     
 ANKARA, ÇANKAYA BELEDİYESİ ÇOKKATLI OTOPARK," SAĞLIK MAH. AKSU CAD.     
 İSTANBUL, ÇAMLIK OTOPARK," LEVENT MAH. ÇAMLIK SOK.  NO:10     
 KOCAELI, ÇAMLIK OTOPARK," Veli Ahmet mah. Cengiz Sille sok. No:11/A  41200 
  izmit
 MERSIN, ÇAMLIBEL OTOPARK," BAHÇE MAH. İSTİKLAL CAD. NO:146     
 İSTANBUL, ÇAMLI OTOPARK," GÜLBAHAR MAH. ÇAMLI SOKAK NO:1 D:A     
 MALATYA, ÇALIŞKANLAR OTOPARK," HAMİDİYE Mah. ANTEPLİ SOKAK NO:26 D:A    
 İSTANBUL, ÇALIKUŞU SOK.  OTOPARK," LEVENT MAH. ÇALIKUŞU SOKAĞI NO:2 D:A     
 ADANA, ÇAKMAK PLAZA OTO PARK," KURUKÖPRÜ MAH. 33017 SOKAK ÇAKMAK PLAZA   
 MERSIN, ÇAKIRLAR OTOPARK," MESUDİYE MAH. 5117. SOKAK NO:46     
 MALATYA, ÇAKIR OTOPARK," HALFETTİN MAH. BARBAROS SOKAK NO:3 D:C    
 DIYARBAKıR, ÇAKIR," ŞEYH ŞAMİL MAH. BARIŞ. CAD. NO:69 D:A    
 ZONGULDAK, ÇAĞRI OTO YIKAMA YAĞLAMA," ÇAYDAMAR MAH. AHMET TANER KIŞLALI CAD. NO:114    
 İSTANBUL, ÇAĞRI KAPALI MÜŞTERİ OTOPARKI," AŞAĞI DUDULLU MAH. ALEMDAĞ CAD. NO:457     
 KARABÜK, ÇAĞRI İŞ MERKEZİ OTOPARKI," HÜRRİYET MAH. ZONGULDAK CAD. NO:1 ÇAĞRI İŞ MERKEZİ   
 İSTANBUL, ÇAĞLAYAN VATAN CAD.,"
 İSTANBUL, ÇAĞLAYAN OTOPARK," ÇAĞLAYAN MAH. PARK SOK. NO:4     
 İSTANBUL, ÇAĞLAYAN KAPALI OTOPARK," ÇAĞLAYAN MAH. MERAL SOK. NO:1     
 ESKIŞEHIR, ÇAĞDAŞ," İHSANİYE MAH. KIRIM CAD. NO:36     
 BALıKESIR, CUMHURİYET OTOPARKI," HAYDAR ÇAVUŞ Mah. CUMHURİYET CAD.  NO:9    
  BANDIRMA
 BALıKESIR, CUMHURİYET OTOPARKI," HAYDAR ÇAVUŞ Mah. CUMHURİYET CAD.  NO:5    
 ESKIŞEHIR, CUMHURİYET OTOPARK," CUMHURİYE MAH. OTOPARK SOKAĞI NO:34     
 KOCAELI, CUMHURİYET CAD.," KARABAŞ MAH. BERK SOKAK     
 İSTANBUL, CUMHUR OTOPARK," FEVZİ ÇAKMAK MAH. 1119. SOK.  NO:109     
 İSTANBUL, COŞKUN OTOPARK," ZEYTİNLİK MAH. MİLLİYETÇİ SOKAĞI NO:12     
 MUĞLA, CLUB BATI YAKASI OTOPARK," MERKEZ MAH. ATATÜRK CAD. NO:11     
 İSTANBUL, CLEANMAX," MİMARSİNAN MAH. SELAMİ ALİ EFENDİ CAD. NO:48 D:A     
 İSTANBUL, CLASS OTOPARK," KÜÇÜKBAKKALKÖY MAH. SERIFALI CAD. NO:39    
  ATAŞEHİR
 İSTANBUL, CLASS İSTANBUL PARK," MENDERES MAH. 324. SOK.  NO:12 D:A     
 İSTANBUL, CİHANNUMA YOLÜSTÜ OTOPARKI,"
 ANKARA, CİHAN 1 OTOPARKI," KORKUTREİS MAH. CİHAN SOKAK NO:1 D:A ÖZ BAYRAK İŞ HANI   
 SAKARYA, CİHAN," SEMERCİLER MAH. İTFAİYE CAD. NO:36     
 MALATYA, CEZMİ KARTAY OTOPARK," AKPINAR MAH. TURFANDA SOKAK NO:12    
 MERSIN, CEYNAK OTO GARAJ," KARACAİLYAS AKDENİZ MAH. CUMHURİYET BULVARI NO:11 D:A     
 İSTANBUL, CEYLAN SOKAK,"
 İSTANBUL, CEYLAN DANDİN," TANTAVİ MAH. SUİŞ CAD. NO:31     
 ANKARA, CEYHUN ATIF KANSU," OĞUZLAR MAH. CEYHUN ATUF KANSU CAD. NO:69     
 ADANA, CEYHAN YOLU," YAKAPINAR MAH. CEYHAN YOLU     
  YÜREĞİR
 OSMANIYE, CEVDET SUNAY OTOPARKI," ALİBEYLİ MAH. CEVDET SUNAY CAD. NO:11    
 İSTANBUL, CEVAHİR OTOPARK," MERKEZ MAH. BİRAHANE SOKAK NO:5 D:5 CEVAHIR   
 İSTANBUL, CEVAHİR," 19.MAYIS MAH. AYTEKİN KOTİL CAD.     
 İSTANBUL, CEREN OTOPARK," OSMANİYE MAH. İSMAİL EREZ BULVARI     
 ANTALYA, CENK OTOPARK," BALBEY MAH. 424. SOKAK NO:6 D:B     
 MERSIN, CENGİZ OTOPARK," REŞADİYE MAH. ALİ MENTEŞEOĞLU CAD.     
 MERSIN, CENGİZ OTOPARK," CAMİ ŞERİF MAH. 5221. SOKAK NO:2     
 İSTANBUL, CEMRE KAT OTOPARK," ÇAĞLAYAN MAH. VATAN CAD. NO:90 D:D     
 MUĞLA, CEMİL ŞERİF BAYDUR SOK.," EMİRBEYAZIT MAH. CEMİL ŞERİF BAYDUR SOK.     
 İSTANBUL, CEMAL NADİR SOKAK-HOCA KASIM KÖPRÜSÜ SOKAK,"
 MERSIN, CEMALPAŞA CD," YENİ MAH. CEMALPAŞA CAD. NO:72     
 ANTALYA, CEM OTOPARK," GÜNDOĞDU MAH. GÖKSU CAD. NO:1 D:A     
 ZONGULDAK, CEM OTOPARK," ÇAY MAH. MÜLAZIM SOKAK NO:2    
 ANKARA, CEBECİ 2," CEBECİ MAH. COŞKUNLAR SOKAĞI NO:4 D:A     
 ANKARA, CEBECİ," ERZURUM MAH. SOYSAL SOKAK     
 İSTANBUL, CARWAX," GAYRETTEPE MAH. BARBAROS BULVARI NO:161 D:A     
 İSTANBUL, CARREFOUR SA," İÇERENKÖY MAH. HALYOLU CAD.     
 İSTANBUL, CAR PARK," KATİP ÇELEBİ MAH. SIRASELVİLER CADDE NO:45     
 İSTANBUL, CAPITOL OTOPARK," ALTUNIZADE MAH. MAHIR IZ CAD. NO:4 D:1     
 İSTANBUL, CAPITOL KAPALI OTOPARKI," ALTUNIZADE MAH. AKSOY SOKAK NO:5 D:1     
 MERSIN, CANSER OTO PARK," KİREMİTHANE MAH. 4403. SOKAK NO:3 D:A     
 ZONGULDAK, CANLAR OTOPARK," İNAĞZI MAH. KARAELMAS SOKAK NO:12    
 MUĞLA, CANKURT OTOPARK," TEPE MAH. 63. SOK. NO:9     
 ESKIŞEHIR, CANER OTOPARK," AKARBAŞI MAH. ARAPALİ SOKAK NO:6    
 MALATYA, CAN OTOPARK," CEVHERİZADE Mah. MÜCELLİ CAD.  NO:29    
 DÜZCE, CAN OTOPARK," CAMİ KEBİR Mah. SANTRAL SOKAK NO:18    
 MERSIN, CAN OTOPARK," ÇANKAYA MAH. 4728. SOKAK NO:21 D:A     
 İSTANBUL, CAN OTOPARK," CUMHURİYET MAH. FIRIN SOKAK NO:18 D:A     
 İSTANBUL, CAN OTOPARK," BATI MAH. VİŞNE SOK. NO:19     
 ADANA, CAN OTO PARK," KOCAVEZİR MAH. 32003 SOKAK NO:36     
 MERSIN, CAN KAPALI OTOPARK," CAMİ ŞERİF MAH. MÜCAHİTLER CAD. NO:17 D:A     
 İSTANBUL, CAN GARAJI," CUMHURİYET MAH. ABİDE-İ HÜRRİYET CAD.     
 İSTANBUL, CAN," ŞEHREMİNİ MAH. DENİZ ABDAL CAMİ SOKAĞI NO:9 D:C     
 İSTANBUL, CAMİ OTOPARKI," SÜMBÜL EFENDİ MAH. KOCAMUSTAFAPAŞA MEDRESESİ SOK.  NO:20     
 İSTANBUL, CAFERİYE SOKAK,"
 İSTANBUL, CAFERAĞA KAPALI OTOPARK," CAFERAĞA MAH. NAILBEY SOK. NO:27     
 BALıKESIR, CADDE," PAŞABAYIR Mah. ORDU CAD.  NO:33    
 KıRŞEHIR, CACABEY KAPALI OTO PARK," MEDRESE MAH. CACABEY CAD. NO:5    
 İSTANBUL, C 1. C 2," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ OTO-C   
 SAMSUN, BÜYÜKŞEHİR BELEDİYE OTOPARKI," KALE MAH. GAZİ CAD.     
 İSTANBUL, BÜYÜKDERE CAD.," ESENTEPE MAH. BÜYÜKDERE CADDE NO:171 METROCITY   
 İSTANBUL, BÜYÜKÇEKMECE KATLI OTOPARKI,"
  BÜYÜKÇEKMECE
 İSTANBUL, BÜYÜK REŞİT PAŞA CAD. ,"
 İSTANBUL, BÜYÜK POSTANE CAD. ,"
 İSTANBUL, BÜYÜK OTO PARK," KARTALTEPE MAH. TERAKKİ SOKAK     
 İSTANBUL, BÜYÜK ÇAMLICA KORUSU YOLÜSTÜ,"
 İSTANBUL, BÜYÜK ÇAMLICA KORUSU SOSYAL TESİSLERİ ÖNÜ,"
 İSTANBUL, BÜYÜK BEŞİKTAŞ OTOPARKI," SİNANPAŞA MAH. SELAMLIK CAD. NO:15     
 ESKIŞEHIR, BURSALI," HACI ALİ BEY MAH. FERAHİYE SOKAK NO:61     
 BALıKESIR, BURHANİYE BELEDİYESİ OTOPARKI," İSKELE Mah. FABRİKA CAD.        
  BURHANİYE
 BURDUR, BURDUR BELEDİYESİ AÇIK OTOPARK," ÇEŞMEDAMI MAH. AKKANAT SOKAK NO:19    
 GAZIANTEP, BURAT OTOPARK," ALAYBEY MAH. HÜRRİYET CAD. NO:25    
 İSTANBUL, BURAK OTOPARK," YENİKENT MAH. OZANLAR CAD. NO:8     
 MERSIN, BULVAR KAPALI OTOPARK," CAMİ ŞERİF MAH. 5217. SOKAK NO:17 D:D     
 SAKARYA, BULVAR GARAJI," YENİGÜN MAH. YENİCAMİ SOKAK NO:7 D:.     
 İZMIR, BRN OTOPARK," YENİGÜN MAH. 1305 SOKAK NO:6     
 İSTANBUL, BULUT OTOPARK," YILDIRIM MAH. ULUDAĞ SOKAK NO:6 DAİRE:A     
 İZMIR, BOZKUŞ OTOPARK," ALTINORDU MAH. ANAFARTALAR CAD. NO:681     
 İZMIR, BOZKUŞ OTOPARK," KURTULUŞ MAH. ANAFARTALAR CAD. NO:633     
 İSTANBUL, BOTANİK OTOPARK," FENERYOLU MAH. FENERYOLU SOK. NO:27     
 İSTANBUL, BOSTANCI VERGİ DAİRESİ ÖNÜ,"
 İSTANBUL, BOSTANCI SAHİL-CEP,"
 İSTANBUL, BOSTANCI ERTAŞ SK.,"
   KADIKÖY 
 İSTANBUL, BOSTANCI AÇIK,"
 İZMIR, BORNOVA ÇOK KATLI OTOPARKI," MANAVKUYU MAH. 554 SOK.  NO:5     
 ISPARTA, BONCUK OTO PARK," ALTINKUM MAH. 2. CAD. NO:8    
  EĞİRDİR
 İSTANBUL, BOMONTİ KAPALI KAT OTOPARKI," MERKEZ MAH. ÇİFTE CEVİZLER CADDE NO:23 D:A     
 BOLU, BOLU BELEDİYESİ OTOPARK," AKTAŞ Mah. NEY SOKAK NO:5 BELEDİYE KATLI OTOPARKI   
 İSTANBUL, BOĞAZ OTOPARK," ARNAVUTKÖY MAH. KİREÇHANE SOK.  NO:58     
 MUĞLA, BODRUM OTOPARK HİZMETLERİ," OMURÇA MAH. DERVİŞ GÖRGÜN CAD. NO:38     
 MUĞLA, BODRUM OTOPARK," YOKUŞBAŞI MAH. KÜLCÜ SOK.  NO:29     
 MUĞLA, BODRUM BELEDİYESİ," OMURÇA MAH. CEVAT ŞAKİR CAD. NO:49 D:A     
 İSTANBUL, BİZİMKENT YAN YOL," CUMHURİYET MAH. BİZİMKENT YAN YOL     
 İSTANBUL, BİZİM TEPE OTOPARKI," KURUÇEŞME MAH. BİZİM TEPE ÇIKMAZI SOK.  NO:1     
 MERSIN, BİZİM OTOPARK," YENİ MAH. 5321 SOKAK NO:20     
 İSTANBUL, BİZİM OTOPARK," YILDIZTEPE MAH. 32. SOKAK NO:23 DAİRE:B     
 İSTANBUL, BİZİM," KARADENİZ MAH. 1128. SOK.  NO:56     
 NEVŞEHIR, BİRLİK," BAHÇELİEVLER MAH. MİTHAT DÜLGE CAD. NO:35    
  AVANOS
 İZMIR, BİRLEŞMİŞ," ATATÜRK MAH. 21. SOKAK NO:2     
  KEMALPAŞA
 ANTALYA, BİRLEŞİK OTO YEDEK PARÇA," MAHMUTLAR MAH. ATATÜRK CAD. NO:17 DAİRE:B MAHMUTLAR SANAYİ SİTESİ   
 İSTANBUL, BİRKENT OTOPARK," LEVAZIM MAH. KORU SOK.      
 İSTANBUL, BİRAHANE OTOPARK," MERKEZ MAH. BİRAHANE SOKAK NO:8     
 İZMIR, BİLGİÇ OTOPARK," İSMET KAPTAN MAH. 1268 SOKAK NO:5     
 İSTANBUL, BİLGİ ÜNİVERSİTESİ,"
 NEVŞEHIR, BİLEN PARK," YUKARI MAH. CAMİİ SOKAK NO:4    
 MALATYA, BICI OTOPARK," BENTBAŞI MAH. SANAYİ CAD. NO:83 D:A    
 İSTANBUL, BICI BICI OTOPARK," YALI MAH. M.FEVZİ ÇAKMAK CAD. NO:2 D:A     
 ANKARA, BEZCİ OTOPARK," DOĞANBEY MAH. İNEBOLU SOKAK NO:3 D:A     
 İSTANBUL, BEYLERBEYİ ÇAMLICA CAD.," BEYLERBEYI MAH. BEYLERBEYİ ÇAMLICA CAD. NO:88     
 İSTANBUL, BEYKÖY OTOPARK," ALİBEYKÖY MAH. ATATÜRK CAD.     
 İSTANBUL, BEYKOZ AÇIK,"
  BEYKOZ
 İSTANBUL, BEYCEĞİZ OTOPARK," ATİKALİ MAH. BEYCEĞİZ MESCİDİ SOK.  NO:3     
 İSTANBUL, BEYAZIT MEYDANI,"
 MUĞLA, BEYAZ İNCİ," MERKEZ MAH. DENİZ CAD.     
 MERSIN, BEŞYOL OTOPARK," YENİ MAH. 5335 SOKAK NO:35     
 MALATYA, BEŞKONAKLAR OTOPARK," KERNEK Mah. BEŞKONAKLAR CAD.  NO:7    
 İSTANBUL, BEŞİKTAŞ PORTAKAL YOKUŞU,"
 İSTANBUL, BEŞİKTAŞ KAPALI OTOPARKI," TÜRKALİ MAH. IHLAMURDERE CAD. NO:126 D:B     
 İSTANBUL, BEŞİKTAŞ KADASTRO ÖNÜ,"
 İSTANBUL, BEŞİKTAŞ BELEDİYESİ KAPALI OTOPARK VE YIKAMA," AKAT MAH. ZEYTİNOĞLU CAD. NO:8     
 İSTANBUL, BESTO OTOPARKI," ORTAKÖY MAH. MUSAHIP SOK.  NO:23     
 ANKARA, BESTEKAR," REMZI OĞUZ ARIK MAH. BESTEKAR SOKAĞI     
 MUĞLA, BEST OTOPARK," ÇARŞI MAH. CEMİL UYAR CAD. NO:12     
 İSTANBUL, BELTAŞ," MERCAN MAH. TACİRHANE SOK.  NO:9     
 İSTANBUL, BELEDİYE OTOPARKI," BATI MAH. ÇİLEK SOK. NO:6     
 ANKARA, BELEDİYE OTOPARKI," ATATÜRK MAH. ATATÜRK CAD.     
  SİNCAN
 DENIZLI, BELEDİYE OTOPARKI," TOPRAKLIK MAH. KAYALIK CAD. NO:7    
 DENIZLI, BELEDİYE OTOPARKI," PAMUKKALE MAH. MENDERES CAD. NO:9    
 DENIZLI, BELEDİYE OTOPARK ALANI," ALTINTOP Mah. 854. SOKAK NO:8    
 KıRıKKALE, BELEDİYE OTOPARK," YENİDOĞAN MAH. ZAFER CAD. NO:56 D:23 KIZILKANAT İŞ MERKEZİ   
 İZMIR, BELEDİYE OTOPARK," TOKOĞLU. MAH. UĞUR MUMCU CADDE NO:45     
  ÇEŞME
 ANTALYA, BELEDİYE OTOPARK," AŞAĞI HİSAR MAH. 4605. SOK. NO:7     
  MANAVGAT
 İSTANBUL, BELEDİYE OTOPARK," TELSİZLER MAH. BELEDİYE CAD. NO:3 D:C     
 ANTALYA, BELEDİYE OTO PARKI," ŞEKERHANE MAH. HÜKÜMET CAD. NO:68 DAİRE:B     
 ESKIŞEHIR, BELEDİYE," ULUÖNDER MAH. FEVZİ ÇAKMAK CAD. CAD. NO:20     
 ANKARA, BEDESTEN OTOPARK," KÜLTÜR MAH. ÇALDIRAN SOKAK NO:22     
 İSTANBUL, BEBEK SAHİL YOLU,"
 İSTANBUL, BEBEK," BEBEK MAH. BEBEK BOSTANI SOKAĞI     
 MUĞLA, BEACH OTOPARK," GÜMBET MAH. BÜYÜK İSKENDER SOK.  NO:85     
 ANKARA, BAYRAM," NECATİBEY MAH. ANAFARTALAR CAD. NO:97     
 İSTANBUL, BAYRAK SOKAK," YUKARI DUDULLU MAH. BAYRAK SOKAK KEYAP İÇİ   
 DENIZLI, BAYDİL OTOPARK," ALTINTOP Mah. 1606. SOKAK NO:1    
 ANTALYA, BAŞKENT OTOPARK," SARAY MAH. BAŞKENT SOKAK     
 DENIZLI, BAŞKANIN YERİ," SIRAKAPILAR Mah. PRF.NUSRETH.FİŞEK SOK.  NO:6    
 KOCAELI, BAŞER," KARABAŞ MAH. KÖSEOĞLU SOKAK NO:24     
 İSTANBUL, BAŞEKİN GÜR OTOPARK," MURADİYE MAH. HÜSREV GEREDE CAD. NO:16 D:A     
 ANKARA, BAŞBAKANLIK KADININ STATÜSÜ OTOPARKI," KÜLTÜR MAH. ZİYA GÖKALP CAD. NO:40 BAŞBAKANLIK   
 İSTANBUL, BAŞARAN OTOPARK," İNÖNÜ MAH. PAPA RONCALLI SOKAK NO:46 D:A     
 İSTANBUL, BAŞAK OTOPARK," YENİMAHALLE MAH. PAPATYA SOKAK     
 ESKIŞEHIR, BAŞAK," KURTULUŞ MAH. YUNUS EMRE HALK ÇARŞISI ÇARŞI NO:37     
 İZMIR, BASMANE OTOPARK," BASMANE MAH. 1384 SOK. NO:18     
 İZMIR, BASMANE OTO PARK," İSMET KAPTAN MAH. 1268 SOKAK NO:20 D:G     
 İSTANBUL, BARUTCULAR OTOPARK," DUATEPE MAH. BARUTÇULAR SOKAK NO:7     
 İSTANBUL, BARIŞ OTOPARK," KEMER MAH. 944. SOK.      
 DIYARBAKıR, BARIŞ," KOOPERATİFLER MAH. ÖĞRETMENLER SOKAK NO:12 D:D    
 İSTANBUL, BARBORAS OTOPARK," GÜLTEPE MAH. BARBAROS CAD. NO:6 D:A     
 İSTANBUL, BARANOĞLU OTOPARK," MURAT REIS MAH. GAZI CAD. NO:107     
 MERSIN, BANGIZ OTOPARK," CAMİ ŞERİF MAH. 5225. SOKAK NO:11     
 İSTANBUL, BALMUMCU İŞPARK," GAYRETTEPE MAH. YILDIZ POSTA CAD.     
 ŞANLURFA, BALIKLIGÖL," DEDEOSMAN MAH. 2430. SOKAK NO:5    
 MUĞLA, BALIKCILAR KOP," AKYAKA MAH. ATATÜRK CAD.     
  ULA
 SAKARYA, BAL," PAPUÇÇULAR MAH. MİLLİ EGEMENLİK CAD.     
 İSTANBUL, BAKIRKÖY İDO İSKELESİ ÖNÜ,"
 İSTANBUL, BAKIRKÖY BELEDİYESİ OTOPARK," OSMANİYE MAH. ÇOLAK İBRAHİM SOKAK     
 İSTANBUL, BAKIRCILAR CAD. ,"
