sehir,isim,ilce,tel,adres
Trabzon İli,Sakli Teras Cafe & Restaurant,Trabzon,462 554 6464,"Cumhuriyet Mah., Yavuz Selim Bulvari, Anaso Is Hani, No: 167 Kat 6"
Trabzon İli,Kahve Diyari,Trabzon,+90 462 500 5961,Gazipaşa Mah. Şehit Onur Dülger Cad. No:5
Ordu İli,Sehri Tantuni,Ordu,0452-2227272,Duz Mah. Kultur Cad. No:18/A Altinordu Ordu
Zonguldak İli,Burger King,Zonguldak,2578812,Incivez Mah. Milli Egemenlik Cad.
Bolu İli,Cafedeyiz,Mudurnu,03744216006,Belediye Caddesi
Düzce İli,Rumeli Restaurant,Düzce,5248797,Kültür Mah. Eski Sanayi Çarşısı 3. Sok. D:10
Düzce İli,Inci Balık Lokantası,Düzce,5143888,Cami Kebir Mah. No:2
Samsun İli,Kahve dunyasi,Samsun,90 362 290 3393,"Yeni Mah. Eski Otogar Mevki Carsamba Cad. Piazza No: 52 K: Giris, Canik"
Bolu İli,Abant Gökdere Restaurant,Bolu,2253201,Abant Yolu 4. Km.
Giresun İli,Pizza Pizza,Giresun,2122051,Fevzi Çakmak Mah. Orhan Yılmaz Cad. G-City AVM No:81
Artvin İli,Hacialioglu Yusufeli Çiğ Köfte,Yusufeli,+90 466 811 2642,yeni mahalle gul sokak
Trabzon İli,Dam Balik,Trabzon,462 2592083,Trabzon'a giderken Akçaabat'a 5 km. mesafede Salacık mevki
Zonguldak İli,İhsan Usta İşkembe ve Döner Salonu,Zonguldak,2536327,Meşrutiyet Mah. Uzun Mehmet Cad. No:15/a
Trabzon İli,Nihat Usta,Akcaabat,2280050,Liman Mevki Sahil Cad. No:1
Trabzon İli,Doğa Restaurant,Uzungöl,"
",Uzungol Bucagi Yolu
Trabzon İli,Akçay Lokantası,Trabzon,3212386,Cumhuriyet Cad. No:15/A
Zonguldak İli,Kebapçı Hafiz,Zonguldak,3161779,Müftü Mah. No:35
Düzce İli,Cihat Burger,Düzce,5242233,Kültür Mah. Mansur Bayram Cad. No:20
Trabzon İli,Lezzet Lokantası,Trabzon,3260657,Gazi Paşa Mah. Ahçılar Sok. No:1
Ordu İli,Ordu Dürüm Sarayı,Ordu,2120809,Süleyman Felek Cad. No:70
Sinop İli,Asmaaltı Döner ve Mantı Evi,Sinop,2610763,Sakarya Cad. No:8/A
Trabzon İli,Doyum Pide ve Lahmacun Salonu,Trabzon,+904623221057,"Yenicuma Caddesi, Belediye Dukkanlari, No: 10"
Samsun İli,Özler Pide,Samsun,8764253,Senk Mah. Atatürk Cad. Ovalı Sok. No:8 Terme Merkez
Ordu İli,Özsüt,Ordu,2345508,Bahçelievler Mah. Atatürk Bulv. Migros Mall No:97/A
Samsun İli,Karadeniz Balık Restaurant,Samsun,2335717,Karadeniz Mah. Cumhuriyet Cad. No:106
Bolu İli,Babi Alem Cafe Restaurant,Bolu,03742753435,Buyuk Cami Mah Belediye Meydani
Düzce İli,Düzce Kirazlıbahce,Düzce,+(90)3805513004,D-100 karayolu üzeri kirazlı köyü merkez
Trabzon İli,Çiğköfteci Ömer Usta,Trabzon,4620600,Uzun Sok. No:46
Bolu İli,Çorbacı,Bolu,0374 2122434,Izzet Baysal Cad. Belediye Dukkanlari No:111
Rize İli,Vadi Et Balık Restaurant,Rize,2412663,Merkez Mah.
Bartın İli,Dalyan Balik Lokantasi,Amasra,3356151,Çakraz Köyü Özmenler Otel
Giresun İli,Mahir Çorba Köfte Salonu,Giresun,2169831,Çınarlar Mah. Tepe Sok. No:1/A
Artvin İli,AtaparkHopa,Hopa,904663515000,Sahil Caddesi Hopa Iskele Yani
Bolu İli,Pırıltı Et Lokantası,Bolu,0374 2173511,Izzet Baysal Cad. No:30
Samsun İli,Midilli Restorant,Samsun,03628542702,Samsun-Carsamba karayolu
Trabzon İli,Emre Pide Salonu,Trabzon,3252599,Büyük Sanayi Sitesi 6. Blok D:9 Trabzon Merkez
Giresun İli,Ağa Pide Salonu,Görele,5131515,Sahil Cad. No:60
Trabzon İli,Akgün Balıkevi,Trabzon,4622422491,Akçakale Beldesi Merkez Camii Yanı No:50
Bartın İli,Liman Balik Restaurant,Amasra,03783152348,Bedenalti Mevki Buyuk Liman Cad.
Düzce İli,Iskele Restaurant Akcakoca,Akçakoca,+90 380 611 3233,Balikci Barinagi Akcakoca
Artvin İli,Huzur Kebapçısı,Şavşat,5172502,Armutlu Mah. Cumhuriyet Cad.
Giresun İli,Tirebolu 42 Kahvalti & Çay Evi,Giresun,904544232183,Irebolu 42 Kahvalti & Cay Evi
Trabzon İli,Suleyman Restaurant,Trabzon,330 0364,Devlet Sahil Yolu Cad. Forum Trabzon Sanayi
Trabzon İli,Şeflerin Yeri Restoran,Trabzon,6566392,"Yeni Mah. Uzungöl, Çaykara"
Bolu İli,Hotel Yariskasi Konagi Restaurant,Mudurnu,4213604,Bolu Cad. No:99
Ordu İli,Kahve Durağı,Ordu,904525252555,Atatürk Bulvarı No:197/A
Rize İli,Karadeniz Lokantası,Rize,2122127,Ekrem Orhon Mah. Elvan Sok. No:17 Rize Merkez
Düzce İli,Degirmen Kır Lokantası,Düzce,+90 380 553 6246,Duraklar koyu 1.organize sanayi girisi no:177
Ordu İli,Çakırtepe Pelit Park,Ordu,04523245157,Atatürk Mah. Çakırtepe Mevki Pelitlik Sok.
Sinop İli,Saray Restaurant,Sinop,2611729,Iskele Cad. Rıhtım Sok. No:18
Bolu İli,Pizza Pizza,Bolu,2125888,Izzet Baysal Cad. No:11 D:2
Bartın İli,Yeşil Yalı Bartın,Bartin,03782770302,Yalı Mevkii Mitsubishi oto Plaza karşısı
Bartın İli,Dalyan Balik Evi,Bartin,2273978,Yali Mevki
Rize İli,Kuzey Balik,Rize,4642462152,Daginiksu Mah. Guneli Mevkii No. 18 Sahil Yolu Uzeri Gundogdu
Kastamonu İli,Ateşoğulları Kuyu Kebapçısı,Kastamonu,+90 366 4171817,Cumhuriyet Meydanı No: 4
Trabzon İli,keyveni,Trabzon,+(90)4623231976,carsi mahallesi turk ismerkezi no 59
Trabzon İli,Sera Gölü Gül Tesisleri,Trabzon,+90 462 248 3366,"Yıldızlı Beldesi, Sera Gölü Mevkii,Akçaabat İlçe sınırı"
Ordu İli,Sahil Balik Evi Restaurant,Ordu,4526663888,Sahil Cad. Ataturk Bulv. Sgk Bitisigi - Gozde Lazer Alti
Zonguldak İli,Türkuvaz Restaurant,Zonguldak,2910000,"İncivez Mah. Milli Egemenlik Cad. No:130 Zonguldak Merkez, Zonguldak Merkez"
Rize İli,Beyda,Rize,+90 464 250 5060,"Cumhuriyet Caddesi, No:111"
Trabzon İli,Özgür Cafe & Restaurant,Trabzon,321 2370,Taksim Is Merkezi kat 6
Samsun İli,Doy Doy,Samsun,4326200,Kale Mah. 19 Mayis Bulv. Beştaş İş Hanı D:2
Kastamonu İli,Susak Restoran,Kastamonu,2129424,Kışla Cad. Kastamonu Merkez
Trabzon İli,Çiğköftem,Trabzon,3216665,Kemerkaya Mah. Maraş Cad. Uzun Sok. No:3
Samsun İli,Ulutan Et Lokantası,Samsun,2332864,Istiklal Cad. No:123
Bolu İli,Kazancım Hizmet Etli Ekmek,Bolu,0374 245 1464,Kuruçay mevki No:5
Samsun İli,Terme Ulusoy Tesisleri,Samsun,8878225,Samsun Ordu Karayolu 61 Km.
Giresun İli,Meşhur Tel Kadayıfçı,Giresun,2162096,Fatih Cad. No:21/B
Giresun İli,Iskele Cafe Restaurant,Bulancak,4543332333,Bulancak Sahil Otoyol Kavsagi 1
Bolu İli,Yörem Kebap Salonu,Bolu,3113062,"Demirciler Mah. Hacı Emin Efendi Cad. No:44 Gerede Merkez, Gerede"
Trabzon İli,Bozo Pide,Trabzon,+90 462 746 1916,Çarşı Mahallesi Orta Sokak No:43/A Sürmene
Bartın İli,Lotis Restaurant,Amasra,3152656,Mendirek Mevki Buyuk Liman Cad.
Düzce İli,Hamsi Balık Lokantası,Akçakoca,6118866,Balıkçı Barınağı
Giresun İli,Yavuz Pide,Bulancak,3186200,Ahmet Fatoğlu Cad. No:12
Giresun İli,Deniz Pide,Görele,5131372,Sahil Cad. No:16/A
Samsun İli,Aslanli Konak Restaurant & Cafe,Bafra,+90 362 543 1186,Hukumet caddesi no: 14
Sinop İli,Obur Lokantasi,Sinop,0368 260 38 16,"Kibris Caddesi, No:5/A"
Giresun İli,Ayvasıl Pide Salonu,Giresun,4542707070,Atatürk Bulv. No:68
Samsun İli,Ganita Balik,Samsun,+(90)362 438 54 61,Adnan Menderes Bulvarıl No:63
Ordu İli,Gardenya,Ordu,2345076,Akyazı Mah. Ibrahim Fırtına Cad. No:88
Rize İli,Konak 1870,Rize,+90 464 217 7383,Carsi Mah. Kazım Karakebir Cad.
Ordu İli,Yosun Pide Restorant,Fatsa,+(90)4524412043,Sahil Caddesi Bolaman
Trabzon İli,Yakamoz Köfte & Balık Lokantası,Trabzon,8566132,"Merkez Yalıköy, Vakfıkebir"
Zonguldak İli,Pizza House,Zonguldak,2576767,Incivez Mah. Milli Egemenlik Cad.
Trabzon İli,Komaroğlu Köfte Salonu,Trabzon,2284401,Orta Cad. No:9 Akçaabat Merkez
Samsun İli,Manti Evi,Samsun,4324760,Kale Mah. Gazi Cad. No:64
Sinop İli,Nihavent Pub&Restaurant,Sinop,3682616633,Meydankapi mah. Kurtulus caddesi Tersane mevkii
Sinop İli,Mavi Ay Restaurant,Sinop,+(90)3682618160,"Meydankapi Mahallesi, Iskele Caddesi, No:7"
Ordu İli,Temel Reis Balik Ekmek Restoran,Fatsa,4524241212,Mustafa Kemal Pasa Mah. Sahil Cad. No:422/A Fatsa Merkez
Giresun İli,Ersan Pide Salonu,Görele,5131058,Sahil Cad. No:27
Düzce İli,Aydınpınar Alabalık,Düzce,903805313141,Aydinpinar Koyu
Bolu İli,Yarenler Lokantasi,Mudurnu,4213700,Bankalar Cad. No:38
Giresun İli,Camburnu Restaurant,Giresun,04546202020,E70 / D-010
Bolu İli,Filiz Restaurant,Bolu,2439394,D-100 Karayolu Bolu Ankara 7. Km.
Trabzon İli,Sumela Restaurant,Trabzon,5311207,Sumela Sosyal Tesisleri
Rize İli,Beyaz Kosk Cafe & Restaurant,Rize,464 250 0 111 ,Ataturk Caddesi No. 358
Düzce İli,İstanbul Kır Pidesi,Düzce,5143671,İstanbul Cad. No:37 Düzce Merkez
Bolu İli,Sucuk Ekmek,Bolu,555678123,Abant Yolu
Trabzon İli,Ercan Burger,Trabzon,322 2960,Kemerkaya Mah. Mehmet Sok. No. 3 D13 Carsi
Bolu İli,Bolu et evi,Bolu,(0374) 220 7070,"Hurriyet Caddesi 16/A Karayollari Yani, 14100 Sumer Mahallesi"
Kastamonu İli,Kurşunluhan Restoran,Kastamonu,2142737,Aktarlar Çarşısı Kurşunluhan Hotel
Ordu İli,Midi Restaurant,Ordu,4522140340,Ataturk Bulvari
Trabzon İli,Pervanoğlu Dinlenme Tesisi,Trabzon,+90 536 442 5050,Zigana Geçidi Hamsiköy
Trabzon İli,Bizim Aile Köfte ve Yemek Salonu,Trabzon,2242203,Fatih Mah. Elvan Sok. No:2
Samsun İli,Alış Lahmacun,Samsun,5434141,Cumhuriyet Mah. Güven Sok. Çarşı
Samsun İli,Hastat,Samsun,4313405,Kale Mah. Gazi Cad. Bafra Is Hani D:51
Bolu İli,Safa Bahçesi,Bolu,2534548,Ayrılık Çeşmesi Mevki D-100 Karayolu Bolu Merkez
Rize İli,Yörem Lahmacun,Rize,2122035,Atatürk Cad. No:318 Rize Merkez
Zonguldak İli,Adalet Büfe,Zonguldak,2516880,Yayla Mah. Liman Cad Zonguldak Merkez
Ordu İli,Kaptan Balikcilik,Ünye, 452 323 2333,"Kaledere Mahallesi, Kasaplar Sokak, 52300 Unye/Ordu, Turkiye"
Bolu İli,Kebap Bank,Bolu,0374 311 39 00,Atatürk Bulv. No:72
Trabzon İli,Akçay Restaurant,Trabzon,3212155,Cumhuriyet Cad. No:9/B Trabzon Merkez
Zonguldak İli,Musanın Yeri Plaj Restaurant,Zonguldak,+90 372 365 90 94,Göktepe Mevrealtı Mevkii
Rize İli,Şelale Balık Restoran,Rize,0 (464) 725 60 48,Yeniyol Köyü (Karadeniz Sahil Yolu)
Samsun İli,Mutlu Menemen,Samsun,7516222,Merkez Çakallı Köyü
Samsun İli,Proff by Professionals,Samsun,"
","Atakent Sahil, Atakum"
Bolu İli,1938 Haşim Restaurant,Bolu,+90 2534548,Paşaköyü Mahallesi D-100 Karayolu Caddesi 80/B
Zonguldak İli,Güverte Lokantası,Zonguldak,3167766,Orhanlar Mah. Atatürk Bulv. No:15
Kastamonu İli,Etli Pide ve Kebap,Kastamonu,2122707,Topçuoğlu Mah. İzbeli Sok. No:4/A Kastamonu Merkez
Düzce İli,Doğan Kebap,Düzce,3805120361,Gaziantep Cad. No:35
Samsun İli,Gaziantepli Imam Usta,Samsun,4314455,Kale Mah. Namik Kemal Cad. No:29
Bartın İli,Gurgenpinari KasapErdal,Bartin,(0378)2286882,"Mevkii, Bartin."
Kastamonu İli,Naila Döner,Kastamonu,366 214 53 48,Kasaplar Hal ici No:21
Samsun İli,Kurupelit Çorbacısı,Samsun,4575843,Körfez Mah. Atatürk Bulv. No:83/A
Düzce İli,Ismail'in Yeri Mount Bolu Meat Restaurant,Düzce,5466007,Dari Yeri Bakacak Koyu Mevki D-100
Rize İli,Bekiroğlu,Rize,2172662,Cumhuriyet Cad. No:161
Bartın İli,Konak Cafe,Amasra,903783152472,"Kucukliman Caddesi, No:4A"
Trabzon İli,Uzungol Ada Restaurant,Trabzon,904626566255,Yenimahalle Fevzi Cakmak Caddesi No:15
Ordu İli,Teras Cafe Restaurant,Ordu,011 90 452 225 5827,Atatürk Bulvar No 142
Samsun İli,PECKO Pastanesi,Samsun,03622365354,"Şehir Mustafa Zıvalı Bulvarı, No:28/A İlkadım/SAMSUN"
Rize İli,Ayder Doğa,Çamlıhemşin,0464.657.2009,Ayder Yolu (Ayder'e 1 km)
Bolu İli,Uğur Pide,Bolu,2154934,Izzet Baysal Cad. No:186
Rize İli,Osmanlı Sofrası,Rize,2131211,Yeniköy Mah. Çanakkale Cad. No:3 Rize Merkez
Rize İli,Seçkin Pide Salonu,Rize,3113159,Subaşı Mah. Atatürk Cad.
Giresun İli,Med Cezir,Giresun,+90 454 649 6261,Kesap Baytemur Cami Yani
Bolu İli,Oltu cag kebap,Bolu,(0.374) 270 48 08,Kultur Mar. Sehitler Cad. 13/13
Rize İli,Evvel Zaman Lokantasi,Rize,"
",Piri Celebi Mahallesi Seyh Camii Arkasi Rize
Zonguldak İli,Çatı Kebab,Zonguldak,2511502,Nizam Cad. Arı Iş Hanı K:1
Zonguldak İli,Meşhur Pideci,Ereğli,3238904,Erdemir Cad. No:10/B
Zonguldak İli,Kafkas Pide,Ereğli,3120423,"Bağlık Mah. Erdemir Cad. No:233/A Bağlık, Karadeniz"
Samsun İli,Beyaz Ev Restaurant,Samsun,2349066,Istiklal Cad. No:37/A
Samsun İli,Orjin Coffe,Samsun,4389306,Mimar Sinan Mah. Adnan Menderes Bulv. No:291
Sinop İli,Barınak Cafe,Sinop,2617421,Iskele Cad. No:9
Trabzon İli,Harran Restaurant,Trabzon,3263889,Maraş Cad. No:50
Bolu İli,Muhtarin Yeri,Bolu,374 275 24 14,Izzet Baysal Hastanesi Karsisi Kalici Konutlar Ustu- Bolu
Artvin İli,Sevgi Sofrasi,Artvin,0466 212 1424,Halkevi Caddesi. Gulpasalar Apt. No. 80
Bartın İli,Amasra Sofrası,Amasra,3152483,Iskele Cad. Hamam Sok. No:2/A
Samsun İli,Leman Kultur Samsun,Samsun,3624404440,Ataturk Bulvari Yanyolu
Bolu İli,Biber Restaurant,Bolu,2753399,Beskavaklar Mah. Hastane Bulv. Gazi Sitesi B1 Blok No:1 D:2
Trabzon İli,Ahmet Usta Kebap Salonu,Trabzon,3232161,Gazi Paşa Mah. Yavuz Selim Bulv. No:54
Trabzon İli,Bordo Mavi Balık Restaurant,Trabzon,904623513888,77-83 Hastane Sokak
Samsun İli,Candal Alabalık Tesisleri,Samsun, : +90 362 264 82 88,Koprubasi Koyu
Zonguldak İli,Big Daddy,Ereğli,3161078,Erdemir Cad. Ereylin Alışveriş Merkezi No:160 K:1 D:69 Karadeniz
Kastamonu İli,Nazar Pide Kebap Salonu,Kastamonu,2121507,Beyçelebi Mah. Beyçelebi Sitesi B Blok D:5/C Kastamonu Merkez
Kastamonu İli,Ulugöl Kebap-Pide-İskender Salonu,Kastamonu,03662141196,Cumhuriyet Cad. No:19
Giresun İli,Elmas Dondurma,Bulancak,3142422,Atatürk Cad. No:2
Ordu İli,Sofra,Ünye,3232691,D?ner ?e?me Meydani
Samsun İli,The coffee home kitchen,Samsun,03624070177,Mimar Sinan Mah.adnan Menderes bul.no:249 atakum SAMSUN
Bartın İli,Karadeniz Aile Pide Salonu,Amasra,"
",Mustafa Cengiz Caddesi 9
Rize İli,Kackar Resort Hotel Restaurant,Çamlıhemşin,9004646572053,Kackar Daglari Milli Parki
Samsun İli,Fevzi'nin Yeri,Samsun,4451575,Baruthane Mah. Batı Park
Artvin İli,Klaskurelebi,Artvin,905354722218,Atanoglu Koyu
Bolu İli,Bolpi Pide ve Kebap Salonu,Bolu,2128989,Tabaklar Mah. Cumhuriyet Cad. No:9 D:1
Düzce İli,Küçük Melen Tesisleri,Düzce,5375056,"Çerkez Taşköprü Mevki, D-100 Karayolu"
Ordu İli,Derin Balik,Ordu,4522234425,"Sarkiy Mahallesi, Yukculuk Sokak No:3"
Bolu İli,Mercan-i Restaurant,Bolu,+(90)374 222 22 21,Izzet Baysal Caddesi Tabaklar Mahallesi Ozek Sokak No: 3
Bolu İli,Lalezar Restaurant ve Kafe,Göynük,+90 374 451 2236,Yenice mahallesi selim çapar caddesi no:9-a Göynük-Bolu
Trabzon İli,Necla Hanım Ev Tatlıları,Trabzon,04623342500,Uzun Sok. Trabzon Merkez
Ordu İli,Hünkar Restaurant,Fatsa,2233940,Atatürk Bulv. Sahil Cad.
Bartın İli,Çeşmi Cihan Restaurant,Amasra,3151062,Büyük Liman Cad. No:21
Kastamonu İli,Tirit,Kastamonu,2141525,Yılanlı Sok. No:26
Samsun İli,Fevzi'nin Yeri Atakum,Samsun,+(90)03624377747,Guzelyali Mah. 3024. Sk. Adnan Menderes Blv. Atakum
Sinop İli,Lila Cafe Bistro,Gerze,903687182222,Kosk Mahallesi Sahil Caddesi No : 8
Trabzon İli,Akcatepe Restaurant & Bungalov Evleri,Trabzon,462 2606060 - 61,"Helvaci Koyu Helvaci Mah. No:24, SivriBurun, Akcaaabat"
Trabzon İli,Köfteci Ali,Trabzon,2481287,Adnan Kahveci Bulv. No:6/A Akçaabat Merkez
Trabzon İli,Buhara KOFTE,Yomra,905333449461,Rize Sahil yolu Uzeri
Ordu İli,Iskele Bahce Restaurant,Ünye, 0.452. 225 06 24,"Tasbasi Mah, Ataturk Bulvari, No 13/A"
Bartın İli,Atafırın,Bartın İli Restoranları,378-2276312,Suterazisi Sokak.No:3
Ordu İli,Aktaşlar Pide,Ordu,2141546,Fatih Cad. No:3
Samsun İli,Kıyak Kardeşler Su Ürünleri,Samsun,4452391,Liman Mah. Toptanci Balik Hali D:25
Samsun İli,Pamuk Kardesler,Samsun,90-362-445-0433,"100 Yil Bulvari, Dogum Evi Karsisi"
Trabzon İli,Özgur Şef,Trabzon,4623217796,"İskenderpaşa Mh., Atatürk Alanı (Belediye Cd.)"
Kastamonu İli,Ehlitat Lokantası,İnebolu,8113988,Hürriyet Cad. No:7 İnebolu Merkez
Trabzon İli,Körfez Köfte,Trabzon,2280150,Liman Mevki Akçaabat Merkez
Trabzon İli,Cemilusta,Trabzon,904623216161,İskenderpasa Mah Ataturk Alanı
Ordu İli,Gesto,Ordu,904522221100,Duz Mah. Ataturk Bulvari No:108/A
Kastamonu İli,Cem Sultan Bedesteni Restaurant,Kastamonu,366 222 25 35,Hepkebirler Mah. Nalburlar Sok. No:4 Kastamonu
Rize İli,Hüsrev,Rize,5327037,Hopa Yolu
Giresun İli,Cin Ağanın Yeri,Giresun,+90 464 649 6102,Kesap
Rize İli,Liman Lokantası,Rize,2171568,Deniz Cad. Rize Merkez
Ordu İli,Atatürk Parkı Restorant,Ünye,+90(452)3245157,Atatürk Parkı
Zonguldak İli,Düş Molası,Zonguldak,+90 372 252 0630,Liman Cd. No:11 Merkez
Samsun İli,Turan Usta Pide Salonu,Bafra,5437572,Cumhuriyet Mah. Rıza Cami Sok. No:13/A
Trabzon İli,Murat Balik Salonu,Trabzon,04623223100,"Ataturk Bulv. No:6, Trabzon Merkez"
Rize İli,Sini Yöresel Yemek ve Kahvaltı yeri,Rize,+90 464 651 7236,Çamlıhemşin Konaklar Mahallesi
Rize İli,Osmanlı Restaurant,Ardeşen,7524223,Ayder Yolu Hoşdere Köyü
Rize İli,Huzur Pide ve Kebap,Rize,2171511,Cumhuriyet Cad. No:111/D Rize Merkez
Kastamonu İli,Munire Sultan Sofrasi,Kastamonu,0.366.214 96 66 ,Hepkebirler Mahallesi Mehmet Feyzi Efendi Caddesi
Samsun İli,Niyazi Kesim Restoran,Bafra,+90 362 543 0202,Belediye Cad. No:2
Ordu İli,Vonali Celal,Ordu,5872137,Çaka Tünel Mevki
Samsun İli,Samsun Pidecisi,Samsun,2316164,Karadeniz Mah. Aziziye Cad. No:29
Samsun İli,Venn Restaurant,Samsun,(0362) 407 00 01 - 02 - 03 ,Cumhuriyet Mahallesi Adnan Menderes Bulvari
Kastamonu İli,Memis Etli Ekmek Daday,Kastamonu,(0366) 6161558,Belediye Caddesi No:3 Daday
Samsun İli,Filiz Lokantası,Samsun,8761498,Fenk Mah. Cumhuriyet Meydanı No:8/A Terme Merkez
Ordu İli,Fatsa Sofrası,Fatsa,+90 452 400 4040,"Fatsa, Mustafa Kemal Paşa Mahallesi, Ata Cd. Yaylak iş Merkezi. Ordu"
Rize İli,Hilal Lokantası,Rize,3441500,Güneysu Mah. Hafız Kamil Cad. No:16
Rize İli,Doy Doy Fast Food,Rize,2122898,Cumhuriyet Cad. No:187 Rize Merkez
Rize İli,Uludag Lokantası,Rize,2178340,Yeniköy Mah. Barış Cad. No:9/D Rize Merkez
Rize İli,Gecem Faas Food,Rize,04642131414,"Ekrem Orhon Mh., 53100"
Zonguldak İli,Selonun Balık Evi,Ereğli,7132953,Pir Ömer Mah. Üçgöz Cad. No:4 Ereğli Merkez
Zonguldak İli,Meydan Sofrası,Zonguldak,6157107,Esengin Cad. No:7/C
Zonguldak İli,Meşhur Köfteci Selami,Zonguldak,5327730,Ankara Asfaltı Çaycuma Merkez
Zonguldak İli,Ne yesem,Zonguldak,3237797,"Erdemir Cad. Ereylin Alışveriş Merkezi No:160 K:1 Bağlık, Karadeniz Ereğli"
Düzce İli,Yaprak Döner,Düzce,5246650,Istanbul Cad. No:1
Bolu İli,Can Ciger Köfte,Bolu,2154176,Izzet Baysal Cad. Belediye Meydani No:106/C
Bolu İli,Şef Kemal'in Yeri,Bolu,0374 2131414,Tabaklar Mah. Börekçiler Sok. No:19
Sinop İli,Aksoy Büfe,Ayancık,6131931,Cumhuriyet Meydani Belediye İş Hanı No:1
Trabzon İli,Gondol Gül Tadal Pide Salonu,Trabzon,3223157,Cumhuriyet Cad. No:19/A
Trabzon İli,Meydan Pidesun,Trabzon,3214021,Iskender Paşa Mah. Deniz Sok. No:2/A
Trabzon İli,Acıktım Kebap Salonu,Trabzon,8212959,Avni Akkan Cad. No:74
Trabzon İli,Mina Yemek ve Köfte Salonu,Trabzon,3257531,Kalkınma Mah. Farabi Cad.
Trabzon İli,Pınar Pide Salonu,Trabzon,9772077,Avni Akkan Cad. No:392
Trabzon İli,Cami Yanı Pide Salonu,Trabzon,2306145,Erdoğdu Mah. Ertosun Cad. No:68
Trabzon İli,Özsüt,Trabzon,3300360,"Değirmendere Mevki Devlet Sahil Yolu Cad. Forum Trabzon K:3 D:1 Sanayi, Trabzon Merkez"
Trabzon İli,Ikizler Pide Salonu,Trabzon,8212351,Avni Akkan Cad. No:42
Trabzon İli,Kardelen Lokantası,Trabzon,3250297,Bağkur Sanayi Sitesi Sanayi
Trabzon İli,Köşem Restaurant,Trabzon,8212630,Avni Akkan Cad. No:23
Trabzon İli,Dönerci Sultan's,Trabzon,3267204,Kemer Kaya Mah. Kunduracılar Cad. Sultan İş Hanı No:39 D:4
Trabzon İli,Köşem Tavuk Döner,Trabzon,3224139,Kunduracılar Cad. No:6/B
Trabzon İli,Şömine Ocakbaşı,Trabzon,3259001,Kalkınma Mah. Farabi Cad. No:12/B
Trabzon İli,Öz Akçaabat Köfte & Kebap Salonu,Trabzon,8214295,Avni Akkan Cad.
Trabzon İli,Tat Pide Köfe & Yemek Salonu,Trabzon,2312678,"2 Nolu Erdoğdu Mah., No 13/A"
Trabzon İli,Hakkı Ustanın Yeri,Trabzon,3251389,Fatih Sanayi Sitesi Altınteri Sok. D:35
Trabzon İli,Merkez Pide Salonu,Trabzon,3252535,Sanayi Sitesi Cami Pasajı D:33
Trabzon İli,Adana Tatlıcısı Tulumbacı,Trabzon,2238023,Gülbaharhatun Mah. Kahramanmaraş Cad. No:249
Trabzon İli,Fırat Hamburger Salonu,Trabzon,3233306,Çarşı Mah. Kolotoğlu Sok. No:10
Trabzon İli,Can Kebap Salonu,Trabzon,2291615,Aydınlıkevler Mah. Hasan Paşa Cad. 609. Sok. No:14 D:1
Trabzon İli,Can Kebap Salonu,Trabzon,2290286,Aydınlıkevler Mah. Hasan Paşa Cad. No:A/6
Trabzon İli,Gelibolu Tesis Restaurant,Trabzon,2242025,Inönü Mah. Yavuz Selim Bulv. Tanjant Yolu No:297
Trabzon İli,Akçay Köfte,Trabzon,2305598,İnönü Cad. No:93
Trabzon İli,Fatih Pide Salonu,Trabzon,2295528,Fatih Mah. Fatih Cad. No:45
Trabzon İli,Menekşe Fast Food,Trabzon,3232123,Maraş Cad. Uzun Sok. No:6
Trabzon İli,Uludağ Kebap Salonu,Trabzon,3214120,Gazi Paşa Mah. Uzun Sok. No:29
Trabzon İli,Işçi Restaurant,Trabzon,8212632,Şehit Muhammet Türk Sok. No:14
Trabzon İli,Elit Pide,Trabzon,2230001,Karşıyaka Mah. Yavuz Selim Bulv. Ilyas Koç Apt. No:477
Trabzon İli,Polatoğlu Kebap,Trabzon,3223358,Iskele Cad. Düzenli Güneysu Iş Hani No:11
Trabzon İli,Cennet Balık Evi,Trabzon,3269119,Moloz Mevki Sahil Yolu No:71/B
Trabzon İli,Dostlar Pide Salonu,Trabzon,8213638,Şehit Muhammet Türk Sok. No:21
Trabzon İli,Çarşıbaşı Lokantası,Trabzon,8214497,Fatih Sok.
Trabzon İli,Pelitli Sofrası,Trabzon,3341152,Adnan Kahveci Mah. No:1
Trabzon İli,Bugara Köfte,Trabzon,3217233,Maraş Cad. No:109
Trabzon İli,Campus Cafe & Restaurant,Trabzon,3256030,Kalkınma Mah. Milli Egemenlik Cad. No:30
Trabzon İli,Hizmet Et Pazarı,Trabzon,3411553,Rize Cad.
Trabzon İli,Tolga Pide Salonu,Trabzon,3230458,Cumhuriyet Mah. Husamoğlu Sok. No:5
Trabzon İli,Kuğu Piliç,Trabzon,3225398,Iskender Paşa Mah. Atatürk Alanı No:5/B
Trabzon İli,Ercan Usta,Trabzon,7176692,Rize Cad.
Trabzon İli,Kibar Restaurant,Trabzon,5232110,Söğütlü Mah.
Trabzon İli,Dürüm 61,Trabzon,04623231701,Atatürk Meydanı No:61/D
Trabzon İli,Hisar Kebab House,Trabzon,3251342,Kalkınma Mah. Farabi Cad. No:4
