isim,tel,adres
Mozaik Cafe,3374920,Miralay Nazım Sok. No:35 Kadıköy Merkez
Mimosette Restaurant Old City,+(90)2125261532,Alemdar Mah. Prof. KazIm Ismail Gurkan Cad. 34110 Sultanahmet/Fatih
Ferahfeza,+902122435154,"Kemankes Caddesi,Karakoy"
Karina Fish House,(0212) 517 34 35,Küçük Ayasofya Sultanahmet
Develi Ataşehir,0216 575 68 68,Vedat Günyol Cad. No:9
Cinaralti Uykuluk,2103514,Sutluce Mah. Imrahor Cad. No:72
Borsa Beyoglu,+212 2451471,Istiklal Caddesi 87/89
Victoria Restaurant,2436849,"İstiklal Cad. Olivya Geçidi Sok. No:11 D:3/A Galatasaray, Beyoğlu"
Filibe Kofte,5229721,Hasircilar Cad. Comert Turk Sok. No:17
Cachi Lokanta Bar,+(90)2438581,Asmali Mescit Mah. General Yazgan Sokagi NO:14 Beyoglu /Istanbul
Fbeer,02163584222,Inonu Caddesi
çiço,(212)2513045,kuloğlu mh turnacıbaşı cd no 3 a beyoğlu
Safir Teras,+90 212 514 0359,Divanyolu Cadessi No:16 sultanahmet / fatih-istanbul
Sariyer Borekcisi Eminonu,905122727,Hobyar Mah. Arpacilar Cad. No 10
Gelik,5471320,Kazlicesme Mah. Abay Cad. Sahil Yolu No:113
Helvacizade Restaurant Cafe,5520020,Yildirim Beyazit Cad. No:82
Center Point,5888709,Kurtkoy Mah. Istanbul Sabiha Gokcen Uluslararasi Havalimani
Pizzam,6121818,Eyup Sultan Bulv. No:69/A
Kafka Cafe,+90 212 245 1958,Tomtom Mah. Yenicarsi Cad. No:26/1
En La Luna Restaurant,+902125187267,23 Utangac Sokak
Et-inn Kebap & Steak,+90 216 301 2929,"Uçar Sk. No:9, Sahrayıcedid"
Sushico,2152311,Buyukdere Cad. Astoria Alisveris Merkezi No:127 K:2
Sbarro,6701146,Kaynarca Mah. E-5 Karayolu Tersane Kavsagi Elka Sok. NeoMarin Alisveris Merkezi No:9 K:4
Pizza Moda,4180418,Leylek sokak No.7 Moda
Cafe Nero,+90 212 227 1898,Cihannuma Mah. Barbaros Blv. No:13
Sanliurfa Sirri,5572211,Inonu Cad. No:70
Tevfik Kis Pide Kebap,4411112,Eski Londra Asfalti Kultur Sok. MetroPort Alisveris ve Yasam Merkezi No:1 K:2
Bakar Ocakbasi,2872138,Nisbetiye Cad. No:33 D:3
Duran Sandwiches,5158811,Evren Mah. Gulbahar Cad. No:2/B
Pera Terrace,+(90)212 245 5135,"Istiklal Caddesi, Beyoğlu Iş Merkezi No:365 Alt Carşı"
Oses Cig Kofteci Osman,5380953,Budak Sok. No:5
Enderun Osmanli Turk Mutfagi,8790401,Baris Mah. Kelesoglu Plaza No:3 D:16-17
Etiler Marmaris Bufe,5745822,Florya Cad. No:86/B
Massa Cafe & Restaurant,902125224200,Emniyet Evleri Mah. Lala Paşa Cad. No:4 Beşiktaş
Küçük Ev,2821162,"Nispetiye Cad. Akmerkez Alışveriş Merkezi K:3 D:435 Etiler, Beşiktaş"
Anatolia Lounge,+(90)2122976091,"Kocatepe Mahallesi, Lamartin Caddesi, No 38 Taksim"
Pizza Fabrique,+(90)444 7 122,"Istasyon Mahallesi, Yarimburgaz Caddesi"
Döner Plus,2122313167,teşvikiye mahallesi güzelbahçe sokak no:12/b şişli/istanbul
Taner Börek ve Pide Salonlari,3600047,"Sahrayıcedit Mah. Derya Sok. No:9 Sahrayıcedit, Kadıköy"
Çıtır Börek,4436766,Atatürk Mah. Alemdağ Cad. No:406 D:1 Ümraniye
Millwall English Bar,216 450 3651,Neset Omer Suk
Meydan Bahçe Büfe,5831639,İstanyon Cad. Bakırköy Merkez
Monalisa Cafe,2524534,İstiklal Cad. Rumeli Han A Blok No:48 K:1 D:1 Beyoğlu Merkez
Matador Steak,90-2122366325,"Çırağan Caddesi, 31/a, Yıldız Mh., Beşiktaş"
Kadırga çay bahçesi,902125188810,82 Kadirga Limani Caddesi
KFC Kentucky Fried Chicken,"
",Üniversite Mah. Selvi Sok. Pelican Mall No:25 D:122
HOLA! Panini&Tapas,+90 216 347 3439,"Caferaga Mah. Sair Latifi Sokak. No:2/B Moda, Kadkoy"
Ugur Usta Kebap Salonu,4262601,Florya Cad. No:9
Sırçacı 14,90-2122995016,"Sarıyer, Köybaşı Caddesi, 60"
Tarihi Vakifhan Sultanhamam Koftecisi,2125201253,Vakifhan Sokak No:4 Hobyar Mahallesi Eminonu
Deniz Bufe,5716969,Kartal Tepe Mah. Sanli Asker Sok. No:5/A
Pasifik,5514412,Cobancesme Mah. Sanayi Cad. No:52
Sisli Kofte Piyaz,2312743,Halaskargazi Cad. No:327
Ikram Hatay Sofrasi Bakirkoy,(212) 570 90 70,Zeytinlik Mah. Ebuziya Cad. NO:72/A Bakirkoy
Oz Nadir,4234882,"Marasal 15,Paseller, Avcilar"
Oz Malatya Kebap Salonu,5224824,Katip Celebi Cad. No:37
Ari Kovani Restaurant,2461007,Istanbul Teknik Universitesi Macka
Caldera Mexican Restaurant,+90 212 5734405,Istanbul Cad. 58/3
Bereket Doner,2498250,Istiklal Cad. Fuat Uskunay Sok. No:14 D:7
Kiyi Restaurant Turizm Gida Ltd,212 262 00 02,Haydar Aliyev Caddesi 186/A
Abdulkadir Restoran,"
",Cevizlik Mh. İstanbul Cd. No: 30/A 34149 Bakırköy/İstanbul
Sultanahmet Cafe & Restaurant,5164418,Divanyolu Cad. No:25/A
Guverte Restaurant,462 0947,Korfez Cad. Iskele Meydani No.3 D 1 Anadoluhisari
Louis Bistro,90 (212) 243 27 33,Kemankes mah. Necati bey cad. no:6 Tophane Beyoğlu
Taksim Karaoke Bar Restaurant,"
","Receppasa Caddesi, No. 7/A"
Bizim Ev,3361681,Moda Cad. No:95/A
Cafe Ristorante Dante,+90 6618919,Defne Sokak
Uluc Cafeteria,4333006,Cinar Mah. Istanbul Cad. No:13/B
Little Caesars,2743555,Ortaklar Cad. Umran Apt. No:5 D:2
Damak Durum,3880099,Cinar Mah. Bagdat Cad. No:191
Carsi Raki Balik,4501564,Gunesli Bahce Sok. No:37
Pizza Hut,"
","Cumhuriyet Cad. Gezi Parkı No:26/A Taksim, Beyoğlu"
Kristal Ocakbasi,2243969,Bozkurt Mah. Esref Efendi Sok. No:14/A
Vira Restaurant,7113161,Haci Kasim Mah. Liman Mevki Kayikhane Sok. No:17
Nevizade Restaurant,+90 0 (212) 251 16 34 ,Nevizade Sk.No:6/B
Ranchero,212 219 8550,Maçka Cd Reasürans Mall 53
Ferman Hotel Terrace Restaurant,4589993,Amiral Tafdil Sok. Ferman Hotel No:37
Asude Ev Yemekleri,3344414,Icadiye Cad. Perihan Abla Sok. No:4
Reçel Türevleri,0541 456 7748,"Sinanpaşa Mh., Şair Veysi Sk No:1, 34100 Beşiktaş"
Elif Bufe,5132280,Ankara Cad. Halil Lutfu 4. Is Merkezi No:102 D:24
Bafetto,216 478 01 11,"SaskInbakkal, 384/B Bagdat Caddesi"
Afzelia Cafe & Restaurant,+90 2163250100,Koşuyolu Mah. Mehmet Afkan Sok. No:7
N-Burger Nişantaşı,+(90)212 231 24 70,"Harbiye Mahallesi Abi Ipekci Caddesi No:57/A, Reasurans Pasaji, Nisantasi"
Sushi Express,292 8477,Asmalimescit Mah. Mesrutiyet Cad. No. 119
Oba,3234050,Baltalimani Caddesi No:54
Cipa Restaurant,560 4110,Sahil Yolu Atakoy Marina Otel K 1
Resit Pasa Kebap,5145364,Buyuk Resit Pasa Cad. No:12
Gaspar,212 293 660,"Müeyyedzade Mahallesi, Necatibey Caddesi, Arapoğlan Sokak, No 6"
Lebnaan,+90 212 573 7116,"Yeşilköy Mh., İskele Cd No:46, Bakırköy"
Le Fumoir,+90 212 244 2423,Serdar-I Ekrem Sokak No.24
Flamingo Bufe,3551850,Bagdat Cad. No:205/C
Çin Büfe Beyoğlu,02122518702,Kuloglu Mah. Turnacibasi Sok. No:6
Turkuaz Restaurant,3312424,Cumhuriyet Cad. No:34
NaPizz,0212 2445464,Tomtom Mah. Bogazkesen Cad. No: 65/1 - 34433 Beyoglu
Dostlar Bufe,5127462,Prof. Kazim Ismail Gurkan Cad. Uretman Han No:27 D:1
Asir Restaurant,+90 (0) 212 256 34 38 ,Kalyoncu Kulluk Cad. No:94
Kebapci Kardesler,902125270027,Hocapasa Cadessi 6A
Tashan Arkat,+ 90 212 514 48 30 ,Kemalpasa Mah. Fethibey Cad. Tashan No:55 Bodrum Kat No:1
Publico,(212)245 40 28,Tunel Meydani No186/A
Capadocia Restaurant,522 6767,Hudavendigar Caddesi 20
Piola Istanbul,2123373070,Esentepe Yıldızposta Cad. No. 29
Mangal Pub Istanbul,9002163454550,Rihtim Cad No. 48 Kadikoy
Dolmabahce SarayI Saat Kulesi Kafeterya,+902122369000,Dolmabahçe Caddesi
Gulluoglu,902163951877,Postane Mahallesi tahaffuzhane cad
Genç Konyalı Lokanta,2257679,"Şahadet Sok. No:10 Feriköy, Şişli"
Bursa Kebapcisi,2176081,Buyukdere Cad. Altan Erbulak Sok. No:11
Doğa'nın Yeri Adana Sofrası,"
",Ciragan cd n:7
Mihrimah Sultan Cafe,00902122936627,Istiklal Cad. Kumbaraci Yk No: 77
Paşalimanı Kafe Beltur,4953216,"Paşa Limanı Cad. No:113 Kuzguncuk, Üsküdar"
Burger King,3346464,Selmani Pak Cad. No:16
Kulindag Chalet Restaurant,90 532 315 59 51,"Ayvalidere Sok. No:6 Mahmutsevketpasa Koyu, Beykoz"
Recep Usta'nin Yeri,4187598,Hizirbey Cad. No:169/B
Musa Ustam Ocakbasi,0212-2452932,"Istaiklal Caddesi, Kuafor PAZARI"
Limani Balik,+(90)212 3633300,Haydar Aliyev Cad No 154
Pacaci Mahmut Usta,6354608,Hirka-i Serif Mah. Kizanlik Cad. No:16
Burger House,3562630,Bagdat Cad. No:386
White Mill Cafe,2122922595-96,"Susam Sokak (Street ), No:13, Cihangir"
Aheste Restaurant,2122454345,Mozaik Carsi T14 Blok No:21 D:37
Karadeniz Pide Evi Sisore,2454902,Asmalı Mescit Mah. Oteller Sok. No:24 Beyoğlu Merkez
Etibeyaz Pilic Doner,5323268,Selmanipak Cad. No:46/D
Duven restaurant,212 880 29 75,Gurpinar
AKO Adapazarı Islama Köfte,3387815,"Yasa Cad. No:11 Osmanağa, Kadıköy"
Etiler Marmaris Bufe,3275454,Besiktas Cad. No:21
Beeves Steakhouse,411 3515 ,Kazim Ozalp Sok. Yalman Center B Blok No. 60 K3
Intiba,3937293,Aydinli Mah. Aydinli Cad. No:43/B
Mersin Yaprak Tantuni,4677755,İnönü Cad. No:1/A Kadıköy
Aslan Kebap,3663518,Altintepe Mah. Galipbey Cad. Alyanak Apt. B Blok No:73/C
Balik Sofrasi,3310214,Cavusbasi Cad. Yahyabey Sok. No:21
Tedd Cafe,5843416,Millet Cad. No:171
Beykoz Pide ve Borek Salonu,3236283,Haci Ali Bey Sok. No:1
Pizza Bulls,4691717,Atilla Ilhan Cad. No:33
Cook House,4457852,Bayar Cad. Bayar Is Merkezi No:107/B
Pilavci,3346673,Uncular Cad. No:30/A
yeniköy kumpir&waffle,+(90)212 262 0177,Yenikoy Mah Koybasi Cad No 134 Sariyer
Gozluklu Kofte,2699899,Nispetiye Cad. Basa Sok. No:7
Vardar Koftecisi,5881338,Fatih Mah. Kizilelma Cad. No:10/A
Hakiki Sultan Ahmet Koftecisi,6248447,Kanarya Mah. Sahin Cad. No:38
Evimiz Osmanli Mutfagi,2991628,Salih Aga Sok. No:25
Mimar Sinan Tarihi Süleymaniye Kuru Fasulyecisi,+(90)212 5119268,"Suleymaniye Mah. Prof. Siddik Sami Onar Cad. No:29-37,Fatih"
Bogazici Yakamoz,2713397,Rumelikavagi Mah. Liman Cad. No:17
Namli Kebap,3222375,Istanbul Cad. Neo Carsi No:10
Chops Cafe & Pub,902122674909,2 Cemal Sair Sokak
Kaplan Kebap,3674555,Merkez Mah. Rustu Sarp Cad. No:26
Cicek Izgara,3800933,Buyukdere Cad. Istanbul Cevahir Alisveris ve Eglence Merkezi No:22 K:5 D:514
Şampiyon Kokoreç,3430506,Nuhkuyusu Cad. No:283/A Üsküdar
Vatankafe,02125324546,Vatan Cadesi
Saray Kale Sac,4168663,Prof. Dr. Muammer Aksoy Cad. No:26 Zeytinburnu Merkez
Qahwah, 537 245 4757,Serasker Cd. No:2
Molla Aski,+(90)+90 212 5348644,"ayvansaray mahallesi,paşa hamamı sokak no:70"
Punto,0212 215 23 90,Büyükdere Cad. Astoria Alışveriş Merkezi No:127 K:2 D:K2A-02
Harman Kebap & Beyran,902125138390,"Divanyolu Cad, Alemdar Mah, Ticarethane Sk, No:45 Sultanahmet"
Ozkonak Lokantası,+90 212 249 1307,Kılıcali Pasa Mh.
Sultan restaurant,05345228367,Eminsinan Hamami Sok No 46
Lavinia Lounge,+(90)212 924 0200,"Raffles Istanbul Zorlu Center, Besiktas, Istanbul"
Papa John's,6636300,İstasyon Cad. Umut Apt. No:6 D:1 Bakırköy
Aşiyan pub restaurant,+90 212 280 2844,büyükdere cad konaklar mah selvili sokak no 7/b 4.levent beşiktaş istanbul
Marmara Et Lokantası,3386544,Caferağa Mah. Dumlupınar Sok. No:1 Kadıköy
Adıyamanlı Çiğköfteci Ahmet Usta,02126012070,Cennet Mah. Hürriyet Cad. No:7
Saray Dürümcüsü,6323300,Ereğli Mah. Büyük Saray Meydanı Cad. No:4 Fatih
Cafe Erol,2927496,"İmam Adnan Sok. No:9/A Taksim, Beyoğlu"
Şükrüoğlu Restaurant,+90 (212) 532 98 88,Molla Gürani Mah. Millet Cad. Murat Paşa Sok. No:5 D:1
Etiler Manti,2122669099,Esentepe Mahallesi Kasap Sokak No:13/B Sisli
Life coffe,9002166170034,5 Ordu Caddesi
Haci Ismail Hakki,+90 212 514 4880,Molla Fenari Mahallesi Nuruosmaniye Caddesi No:44 Fatih
Özsüt,3260195,"Acıbadem Cad. Kazaca Apt. No:97 Acıbadem, Üsküdar"
Canteen,2810348,Nispetiye Mah. Aydin Sok. Buyukhanli Is Bloklari No:12
Antepli Beraat Tatli ve Cig Kofte Salonu,3483294,Rasim Pasa Mah. Karakolhane Cad. No:50/A
Hilal Bufe,5123312,Cadircilar Cad. No:185
Little Caesars,3423160,Maden Mah. Nalbanttepe Mevki Kilyos Cad. No:117
Kehribar Restaurant&Cafe,+(90)2122432530,Kemankes Mah. Kilic Ali Pasa Mescidi Sok. No:3 Tophane
Fatosun Mutfagi,3456384,Serasker Cad. Ziyabey Sok. No:8
L'Oranj,2560803,"Topçu Cad. Eresin Taxim Premier Otel No:16 Taksim, Beyoğlu"
La Paz Cafe Bar,+90 212 2498671,Ensiz Sok 10/1
Pizza Porto,5733422,Yat Limani Rihtim Sok. No:14
Tabbah Restaurant,0212 5160211,Kadirga Liman Cad. Ottoman Hotel Park No:85
Eskibağ Teras - Paradisos Cafe,+(90)2163823820,"Nizam Mah. Buyuk Tur Yolu, Buyukada"
Mor Meyhane Beyoğlu,0 212 293 98 21,Tepebasi Mahallesi Mesrutiyet Caddesi No:83/1
Çiçek Börek,02125916792,Merkez Mah. Marmara Cad. Yusuf Çavuş İş Merkezi No:29 D:18
Kasabim,2516116,Yeni Yuva Sok. No:16/A
Ocakbaşı ZIRH,+(90)0216 348 2 348,Muhurdar Cad. Yasa Sok. 38/ 1 Kadikoy
Pelit,212 411 1300,"Yalı Mahallesi, Küçükyalı Caddesi No : 229 Sahilyolu - Maltepe / İSTANBUL"
Sky Kamer Restaurant,5171700,Mimar Kemalettin Mah. Ordu Cad. Sky Kamer Hotel No:31
Divan İstanbul City,3374900,Büyükdere Cad. No:84 Gayrettepe
Kalamis Balik,4496600,Kalamis Fener Cad. Iskele Sok. No:2
Alem Restoran,2496055,"Istiklal Cad. Nevizade Sok. No:8-10 Taksim, Beyoğlu"
Taya Hatun Cafe,2125282816,"Hocapaşa mah.Tayahatun sok.No:2 Sirkeci, Fatih"
Kebapci Etiler,212 257 0209,Nispetiye Caddesi No. 14
Carpet Cafe,212 519 6289,Alemdar Cad. 16/A Sultanahmet
Meze Restaurant,212 310 2525,Conrad Hotel Istanbul Cihannüma Mah.
Piyatto,2644242,Konaklar Mah. Selvili Sok. No:3 D:10
Kiliza,3257170,"Levent Mah. Çilekli Cad. Sedir Sok. K:2 D:1 Levent, Beşiktaş"
Gorele Pide,3356755,Alemdag Cad. No:4/A
Şehir Meyhanesi,+(90)2126693820,Bahçeşehir 1. Kısım Mah. Sanatçılar sk. No:12/A Bahçeşehir / Başakşehir
Artistler Kahvesi,+(90)2122459611,Gazeteci Erol Dernek Sok Yeni Melek Han No:17/A
Keyif Nevizade,905322021415,Molla Esref
Sutis Abdullah Aga Yalisi,(0216) 557 8040,"Cengelkoy Mh., Albay Husamettin Erturk Sk No:7, 34680 Uskudar/ Istanbul"
Refik,+ 212- 2432834,Sofyali S 10-12
Yunus Balik,5198591,Yeni Galata Koprusu No:7
Haci Bozan Ogullari,4427311,E-5 Karayolu Koroglu Sok. No:2
Tektekci Beyoglu,544 673 12 01,Tomtom Mah. Acara Sok. No. 2/1 - Beyoglu
Dervis Restaurant,4719181,Fevzi Cakmak Cad. No:137
Gelik,2811592,Carsi Cad. No:25
Pizzeria Al Trancio Istanbul,+(90)212 244 0415,Imam Adnan Sokak No. 11
Osmanli Sark Sofrasi,6135101,Terazidere Mah. Oztekin Cad. No:2
sade kahve,2871582,"Yahya Kemal Cad. No:36 Rumelihisarı, Sarıyer"
Kav Cafe,0212 242 5088 ,Yenimahalle Cad. Cami Arkası Sok. No:15/A
Edirne Kırkpınar Lokantası,6400437,Kocatepe Mah. Şehir Parkı Cad. 12. Sok. Forum İstanbul K:Giriş D:340-345 Bayrampaşa
Sanat Restaurant,527 8297,Yeni Galata Köprüsü
midpoint akbatı,+90 212 397 7862,Esenyurt Akbati Alisveris Merkezi
Balıkçı Mustafa,00902163952399,Cumhuriyet Caddesi No 127
Gelisli Balik Restaurant,2426731,Rumelikavagi Mah. Liman Cad. No:88
Türkistan Aşevi,+90 212 638 65 25 ,Tavukhane Sok. No:36 Sultanahmet
Bi Bucuk,2447010,Suslu Saksi Sok. No:14-18
Iskender Kebap,2122365571,fulya
Reis Fish,2183893,Rumelikavagi Mah. Iskele Cad. No:5
Bereket Doner,5195190,Uzun Carsi Cad. No:250
Mado,902164911561,Bati Mah.Sahil yolu Marin Turk C Blok
Beer's Cafe & Restaurant,2163624682,Iskele Cad. Yazmaci Tahir Sok. No:56
Balikci Nuri Baba,0212 36 64,Yeni Mah. Cad. Saray Arkasi Sk. No. 19 Sariyer
Fumo,0(212) 425 25 82,"Birlik Cd 7-13, Beşyol Mh, Küçükçekmece"
Rejon Kebapcisi,(212) 522 20 07,"Beyazıt Mahallesi, Yorgancılar Caddesi, No 6, Fatih"
Hüsrev,3474210,"Esentepe Mah. Yıldız Posta Cad. Dedeman İş Hanı No:48 D:1 Esentepe, Şişli"
Sultan Tera Cafe,212 5143748,Fetva Yokusu No:29 Suleymaniye
Meshur Kofteci Recep Usta,3214977,Cengelkoy Mah. Cakali Sok. No:4
Mavi Kahvaltı&Cafe,+(90)2122274335,Sinanpasa Mh. Sht Dursun Bakan Sk. No:22/A Besiktas
Kral Burger,2705054,Nispetiye Mah. Aytar Sok. No:11/B
Kizilkayalar,"
",Bagdat Cad. No:367/A
Blackk,0212 2367256,Muallim Naci Cd. Ortakoy
Rossopomodoro,+90 216 385 2300,Prof. Dr. Hulusi Behçet Cad. No :10
Sofyali 9,+90 212 252 3810,Asmalımescit Cad. Sofyalı Sok. No:9
Sultan Sofrası,3100540,Mimar Sinan Mah. Selami Efendi Cad. No:1 Üsküdar
Takanik Fish,2998233,Iskele Sok. No:3
Sushico,3223181,Istanbul Cad. Arcadium Alisveris Merkezi No:26 K:2 D:5
Gül Ebru Kantin,212 512 3393,"Grand Bazaar, Acı Çeşme Sokak 4,across from Zincirli Han"
Gaziantep Emek Kebap,2341065,Abidei Hurriyet Cad. No:124
Zeytindalı Restoran,3050453,"Sahil Yolu Rıhtım Cad. No:10 Yalı, Maltepe"
Ali's Restaurant,263 4219,Bebek Arnavutkoy Cad. No. 64 D 2
Sultan Soylu Kebap Lahmacun Pide Salonu,6949922,Merkez Mah. Ahmet Taner Kislali Cad. No:18
Tike,216-467-5914,Kazim Özalp Caddesi 58
Kirpi Cafe,3853443,"Bağdat Cad. Garanti Yapı A Blok No:325 K:1-2 Erenköy, Kadıköy"
Kubban Restaurant,6518161,Baglar Mah. Kocman Cad. Gamsiz Sok. No:2/B
KARAKOYUM CAFE,212 2446808-9,"KEMERALTI CAD. NO.8, KARAKOY"
Sarıgül Restaurant,5876647,Büyük Kuleli Sok. No:59/A
Seoul Restaurant,902124580621,Cankurtaran Mah. Akbıyık Cad. Bayram Fırın Sok. No. 37
Lunch Box,6578847,Evren Mah. Gulbahar Cad. 1. Sok. Praktiker Yapi Market D:48
Emirhan Et Lokantası,5897539,Kızılelma Cad. No:17 Fatih
Şampiyon Kokoreç,3302950,"Zühtü Paşa Mah. Bağdat Cad. No:53 D:27 Kızıltoprak, Kadıköy"
Merkez Efendi Koftecisi,6713093,OSB Dolapdere Sanayi Sitesi 20. Ada D:35
Aterina Balik Restaurant,212 236 3737,"Koyici Meydan Sok No 4 B Sinanpasa, Besiktas"
Ataşehir Yemek Kulübü,5729243,Küçük Bakkalköy Mah. Fevzi Paşa Cad. No:55 D:1 Ataşehir
Komşu Fırın,850 2003064,Atakent Mah. Çicekli Vadi sokak. Arena Park AVM 1B14 Küçükçekmece Küçükçekmece / Atakent
Kulunce Sofrasi,4733255,Sapanbaglari Mah. Sureyya Pasa Cad. No:128
Anadoludan,6034300,Köyaltı Mevki Merkez Mah. Değirmenbahçe Cad. Kavak Sok. StarCity Outlet Center No:2 K:2
İhtiyar Balıkçı,902125742278,Liman sokak No:5
Muaf Beyoğlu,+90 212 243 2438,Kurabiye Sokak No:4
Yıldız Saray Döner & Kebap,906318631,Fevzi Paşa Cad. No:259 Fatih
Fasuli lokantalari,0212 243 65 80,"Kemankes Mh. Kilicalipasa Cd N. 6, Tophane"
Maranda Döner,+(90)2125229911,hamidiye caddesi no 2 sirkeci fatih
Kanatçı Muhtatin Yeri,(212) 853 61 00 ,Cumhuriyet Mah. E5 Karayolu Üzeri 1992 Sk. No:10
Pub Salute,+90 212 512 2298,Ebusuud Cad. Safettinpasa Sok. No:6
Burger King,8540626,Guzel Yurt Mah. Yildirim Beyazit Cad. Real K:Giris
Kitchenette,"
","Kanyon AlIsveris Merkezi, Buyukdere Cad. No: 52-53"
Şefo Mantı,5741818,"Otlukbeli Sok. No:57 D:1 Florya, Bakırköy"
Pierre Loti Tepesi Tesisleri,4971313,Merkez Mah. Idris Kosku Cad. No:4
Lokanta,212-245-6070,Mesrutiyet Caddesi
Nato,02122496424,Necati Bey Cad. Karanlık Fırın Sok. No:4 Beyoğlu
Avlu Ocakbaşı,905323773787,Yeni Çarşı Cad No 32 K -1 Beyoğlu
Kuğulu Cafe Restaurant,8713687,Cumhuriyet Mah. Cumhuriyet Cad. Basın Doğa Parkı
Maestro Restaurant,528 2326,Hoca Pasa Mah. Ebussuud Cad. No. 5 Sirkeci
Meşhur Filibe Köftecisi,2338339,"Bahtiyar Sok. No:5/A Osmanbey, Şişli"
Konyali,(0212) 513 96 10,"Mimar Kemalettin Cad. 5.VakIf Han, Sirkeci"
Pizza Days,8520152,Beylikduzu Mah. E-5 Karayolu Migros Alisveris Merkezi - Giris KatInda
By Balikci,2716041,Cayirbasi Cd No:201
London Pub,0216 349 6165,"Serasker Caddesi, Piri Cavus Sokak No:13"
Hanimeli,2248486,Halaskar Gazi Cad. Zafer Sok. No:24/E
Bodrum Mantı & Cafe,3860011,"Bağdat Cad. Yapı Kredi Blokları C Blok No:361 D:3 Şaşkınbakkal, Kadıköy"
Mangal Keyfi,2451534,"İstiklal Cad. Öğüt Sok. No:8 İstiklal, Beyoğlu"
Galaktion,+90 212 243 8745,"Müeyyedzade Mah Ali Hoca Aralığı Sok No:14B, Beyoğlu"
Düşler Sokağı,2520866,"İstiklal Cad. Bekar Sok. No:16 Taksim, Beyoğlu"
Al fakheer shisha lounge,902122650265,20 Bebek Yks.
Istanbul Restaurant,(0212)638 94 93,"M.Kemal Pasa Cd., Azimkar Sk., No.2 Aksaray"
Dürümcüm,(0212) 4318648,Barbaros C. 65 S. N:2 Şahin Man Mağazası Karşısi
Cookshop,0212 257 9309,Nispetiye cad.
Theodora Restaurant,5201521,Alemdar Cad. No:2 Sultanahmet
Kadikoy Pide Salonu,3369461,Osmanaga Mah. Resit Efendi Sok. No:17
Manzara Restaurant,5740077,Yesilyurt Mah. Sahilyolu Cad. No:10
Roof Restaurant,2972200,Aydede Cad. Taksim Gönen Hotel No:15 K:11 Beyoğlu
Donerist,+(90)2122130214,Yildizposta cad. Esentepe mah. 23/10 Gayrettepe Sisli
Popeyes Louisiana Kitchen,"
",Kucuksu Cad. CarrefourSa
Beykoz Social Facilities,3223379,Burun Bahce Mevki Cubuklu Cad. Sahil Yolu
The House Cafe İstinye Park,3456202,"Pınar Mah. İstinye Bayırı Cad. İstinyePark Alışveriş Merkezi K:1 İstinye, Sarıyer"
Çınaraltı Lahmacun Pide & Kebap Salonu,2122501705,"Yenisehir mah. Serdar Ömer Cad. No: 91, Beyoğlu"
Kız Kulesi Kokoreç,0216 343 4054 ,Eski Keresteciler Sok. Murat İş Hanı No:10/D
Sardunya,2491092,Meclisi Mebusan Caddesi # 22
Define Bufe,2613906,Sinan Pasa Mah. Ortabahce Cad. No:27
Guvenc Konyali,5550818,Gulbayir Sok. No:16 D:4
Adem Baba Restaurant,2872648,Arnavutköy Mah. Beyaz Gül Cad. No:2 Beşiktaş
Papa John's Pizza,+90 216 349 1700,Bağdat Cad. 149
Nar Çiçeği,2753731,Kore Şehitleri Cad. No:37 D:1 Şişli
Turkısh Kebabı,390 3407,Kaynarca Mah. Aydinli Yolu Cad. No. 208/A Kaynarca
La-Mekan,212 220 89 42,Mehmet Akif Ersoy Mahallesi. Silahtar Caddesi. No: 49/C
Sütiş Kebap Dünyası,2528268,"Katipmustafaçelebi Mah. İstiklal Cad. No:13 Cihangir, Beyoğlu"
Habesha,0531 260 4250 ,Hüseyin Aga Mah. Ekrem Sok. No 5
fermentasyon cafe,90 2122440382,6 Kucuk Parmakkapi Sokak
Tike,212-630-5930,Koçman Cad. Ziyal Plaza C Blok No:38
Nalia Karadeniz Mutfağı,6300690,Bağlar Mah. Yalçın Koreş Cad. No:2 D:3 Bağcılar
Olivia's Pizzeria,3552438,Bağdat Cad. No:215
Newbackpackers Cafe restaurant,2124580017,Akbiyik Caddesi No 22
Barcode,216-385-0073,"Cemil Topuzlu street, Iskele avenue"
Akmanoglu Firini,02125810639,Eyup Opposite Eyup Sultan Mosque Entry
Balikcim,4649481,Prof. Dr. Nihat Tarlan Cad. No:47 D:9
Cicek Kofte,2747292,Buyukdere Cad. Hukukcular Sitesi No:24
Eat Box Burgers & More,+(90)212 3270123,Jandarma Mektep Sokak NO:1 Abbasaga Mah
Rokethane Cafe & Restaurant,216 711 3784,Kumbaba Mahallesi Selçuklu Caddesi No: 10
Çılgın Dürüm,2937216,"Sıraselviler Cad. No:2 Taksim, Beyoğlu"
Bahcede Sinek Cafe,+ 90 216 382 35 78,Yilmaz Turk Caddesi
Alimento Balik,2994400,Kefelikoy Cad. No:172
Gezi Pastanesi,+90 (212) 322 45 40,5 Taksim Caddesi
SWAAD Indian Restaurant,02 12 518 71 10,"Near Grand Bazar, Opp. Cemberlita S Tram Station, Binbirek Mah., Perkhane SK NO:9 Cemberlita S"
Elif'li Pasta Cafe,2439748,Meclisi Mebusan Cad. Mebusan Yokusu No:65
