yetkili,isim,tel,adres
 İLKE TÜRKDOĞAN,FOİ ACCESSORIES Bayilik Veriyor - Bayilik Franchise,  02423464081      , Dutlubahe Mah. Emrah Cad. No:87 Muratpaşa/ANTALYA
 Celalettin UZUN,TAKIŞTIR - TAKI'CIM Franchise Veriyor - Bayilik Franchise,  0 380 524 47 47 , Uzun mustafa mah. 685 sok. no;3 düzce
 Davut Erdem ŞARALDI,Ladies Coccosh Accessories Franchise Veriyor - Bayilik Franchise,  05323118991      , Kağıthane-İstanbul
 kaan h  ATEŞ,kaan accessories Franchise Veriyor - Bayilik Franchise,  53222015004      , EDREMİT
 Burak ATASOY,Bay Şapkacı Franchise Veriyor - Bayilik Franchise,  0532 372 15 51  0216 441 8556      , Bağdat Cad.No:458 kat 3 d:11 Maltepe / istanbul
 Yusuf Çagrı Doruk,Toptan Takı Dünyası Bayilik Veriyor,  0532 056 86 11      , Cihannüma mah.yenimahalle fırın sok . 16/2 beşiktaş/istanbul
 M. Kemal Çelik,Kılıf & Kılıf Franchise Veriyor - Bayilik Franchise,  05372133068      , Camii Şerif mah. Eski yoğurt pazarı 5209 sok.
 Burak ATASOY,Trendances Accessories Franchise Veriyor - Bayilik Franchise,  05323721551      , Bağdat Cd. Çolakoğlu İş Mrkz. No:458/10 Maltepe İstanbul
 CÜNEYT ÜRKMEZ,SETTE Franchise Veriyor - Bayilik Franchise,  0 553 261 67 04      , Mithat Paşa Cad. No:6 Beyazıt  ; İSTANBUL
 Barış Özdemir,Melek Aksesuar Bayilik Veriyor - Bayilik Franchise,  0545 299 17 18      , İstanbul / Kadıköy
 Hüseyin BÜYÜK,HB Waffle Bayilik Veriyor,  05449067037      , Külhan mh kemal kaynaş cad.no:69 KARAMAN
 GÜLÇİN KOÇ,BONEX Bayilik Veriyor - Bayilik Franchise,  Tel : +90212 252 42 26      ," Cumhuriyet mah.Cumhuriyet cad.2059.sok No:5 Delta Towers Kat:12 D:130 Esenyurt/ İSTANBUL, TURKIYE 34520"
 Bayi Danışmanı,TÜRKNET ALARM Bayilik,  444 85 75      , Eğitim mah. Poyraz sok. 1/74  / Kadıköy / İstanbul info@turknetguvenlik.com
 Gokay Yaman,Creppi Bayilik Veriyor,  05322840333      , cesme izmir
 KUKUROGLU PAZ. VE DIS TIC,Technolog Mikrofiber Temizlik Bezi Bayilik,  0 258 213 68 00      , Denizli
 Ferhat ocabaş,PORTAVİA by mambocino Franchise Veriyor - Bayilik Franchise,  0212 270 47 01 / 02      , Yeşilce mah seçilmiş sk no 13 / 4   4 levent ist
 Basak Basarir Gulec,Sandwichlab Bayilik Verior,  5358170953      , Pinar sk caglar apt no 5/4 kozyatagi istanbul
 Deniz Erşan,HotStop Bayilik,  0216 4569878      , Girne Caddesi Zengin İş MerkeziNo: 20/7 Ataşehir-İstanbul
 Menderes Şeker,Magic Fruit Flowers Franchise Veriyor,  0212 260 64 07 - 27  Gsm 0532 504 64 85      , Yıldırım mah. Rize Sok No=5 Bayrampasa-İsatanbul
 ömer,dodonut Franchise Veriyor,  +4915904083724      , taunusstr. 65 65067 Offenbach am Main
 Selçuk SOLAK,MARGİDO Dondurma Bayilik,  0 344 235 16 10      , Sümer Mahallesi İlahiyat Caddesi No:11 KAHRAMANMARAŞ
 Ahmet Aktaş,Vittamin Dondurma Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0344 235 05 05      , Şazibey Mah.İsayusuf AlpTekin Bulvarı Serdarbey Apt No:3 Kahramanmaraş
 Nüket Dumlupınar,Gelmatic&Triomax Soft Dondurma makineleri Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0533 695 44 43      , Onur Mah.Zambak Sok.Uğur Apt no:37/B Ballçova/İzmir
 MURAT SAYIN,Börsan Yufka ve Börek Bayilik Veriyor,  0212 689 25 23-24      , ATATÜRK MAH.ADNANKAHVECİ CAD.NO:48/1 KIRAÇ/ESENYURT-İSTANBUL
 SEMİH YILMAZ,GÜRSOY DÖNER Bayilik Veriyor,  0212 551 33 99---0533 294 44 22      , ÇOBANÇEŞME MAH.MİTHATPAŞA CAD.NO=14 BAHÇALİEVLER-İSTANBUL
 bahar koz,Warmer Sıva Bayilik Veriyor,  05326205018      , şafak mah. şehit selami atabey cad. 38/b gölbaşı / ANKARA
 Dilek Ersan,Taco Dünyası Bayilik Veriyor,  2165762021      , Atilla ilhan caddesi no :18 ataehir / istanbul
 Kemal KOCA,HOT CORNER - HOT DOG Bayilik Veriyor,  05052811657      , Haşim İşçan Mh. Atatürk Cd. No:61/D Antalya
 EMEL HATİPOĞLU,CHITIR CHICKEN Bayilik Franchise,  05326710779      ," Kemalpaşa Cd. No : 10 / 2 MTK 1 girişi 35530 Çamdibi, Bornova, İzmir Türkiye"
 Faruk Gürtaş,Myself Pizza Bayilik Veriyor,  0312 255 13 07      , Ergazi Mahallesi  Gersan Sanayi Sitesi  Tahsin Kahraman Caddesi  No:59  Yenimahalle/ANKARA
 Ziraat Yük. Müh. MÜCAHİT ZORLU,Legend Chicken Bayilik Veriyor,  0533 403 66 99  - 0232 329 55 15      , ANADOLU CAD. NO 804 /B ÇİĞLİ İZMİR
 İrfan Yalçın,Beef Burger Bayilik,  0224 233 5 000 / 0532 245 53 84      , Kükürtlü mah. Kükürtlü cad. No:63B Osmangazi/Bursa
 kazım bahar,Binnaz Bayilik Veriyor,  0 232 252 1 888      , ay ce. no 2/c gaziemir izmir
 Tanju Taner DÖNMEZ,Göçmen Börekçisi Bayilik Bayilik Veriyor - Bayilik Franchise,  444 4 964      , Kocaeli
 YILDIRAY SUNAR,Yechicken Bayilik Veriyor,  2164676693      , SAHRAYI CEDİT MAH. MÜMİNDERE SOK. MÜMİN APT NO:44/3 KADIKÖY/İSTANBUL
 Utku Tülümen,Sardır Bayilik Veriyor,  02122186821      ," Merkez mah., Yenimahalle cad., No:7/A, Sariyer"
 Murat akkuş,Freshium Salads Bayilik Veriyor,  5433299174      , MERKEZ  / FABRİKA ADRES : FİRÜZKÖY MAH. KARAALİ CADDESİ NO.3 AVCILAR İSTANBUL
 İnan Çetin,PANİNO FABS Bayilik Veriyor Franchise Veriyor - Bayilik Franchise,  0 232 2787030  0 553 3378668  0 850 433 34 35      , Ata Caddesi No:75/A Balçova İZMİR
 Hüseyin ünal,La Pizza Bayilik Veriyor,  0.242 743 07 70      , Lise Cad. No:31/A manavgat Antalya
 Birgül Kemiksiz / Aziz Serdar Özden,Sosisev Franchise - Bayilik Şartları,  0 542 423 66 83/ 0 533 621 15 49      , Yeni Yalova Yolu 9.km.Sönmez Tesisleri Kat:1 No:46 Osmangazi/BURSA
 Seda YILDIRIM,DOME PICO Bayilik Veriyor - Bayilik Franchise,  0 312 3970400      , Gimat 14. Blok No: 378 Macunköy-ANKARA
 Dursun Uyar,Abide.Kebap Franchise Veriyor - Bayilik Franchise,  0533 3376870      , Aksaray parksite
 Sinan ÜNAL,Lala Franchise Veriyor - Bayilik Franchise,  05335631154      , Kültür Mahallesi İstanbul caddesi Krempark AVM
 Mehmet Aslan Aktaş,Patso Burger Bayilik Şartları,  05453535349      , Bağlarbaşı cumhurıyet cad no 113/a
 ,KUMPİR BOX Franchise Veriyor - Bayilik Franchise,  0212-630 70 50 / 0554-533 33 07      , Londra Asfaltı Üzeri Atatürk Havalimanı Kavşağı Airport Shopping Mall Kat:3 No:96 Bakırköy/İSTANBUL
 EMRE EKŞİ,TOMBİŞ Bayilik Veriyor - Bayilik Franchise,  0532 5115686      , CEMAL GÜRSEL CD.64/B CEBECİ - ANKARA
 Selcuk Güler,CESA Çiğköfte Bayilik Veriyor - Bayilik Franchise,  05355593099      , Akçaburgaz mah. merceds cad. no:3 kat:1 Esenyurt-İstanbul
 Yakup Aksoy,Mantı Keyfi Bayilik Veriyor - Bayilik Franchise,  0216 413 99 66 - 0533 924 64 54      , Rüzgarlıbahçe Mah. Atatürk cad. no:30 Kavacık Beykoz
 Gürkan GEDİZ,Hamsi Finger Franchise Veriyor - Bayilik Franchise,  05459301020      ," Cumhuriyet Bulvarı, Bulvar İş Hanı, No:109 D:302 Pasaport/İZMİR"
 Ümit Namazcı,İstanbul_Pilav Gökgıda Gıda Pazarlama Dağ.San.Tic.Ltd.Şti. Bayilik Veriyor - Bayilik Franchise,  212 282 64 12      ," Emniyetevleri Mah., Yeniçeri Sok. Demirkaya İş Merkezi, No:42 4.Levent İstanbul"
 Turan Özçengel,Chipsfunny Bayilik Veriyor - Bayilik Franchise,  +90 232 441 55 22      , Anafartalar Cadde Salepçioğlu iş merkezi No : 96/312 Kemeraltı-Konak /İZMİR
 Arif Akarslan,Cızbız Köfte Bayilik Veriyor,  0212 558 17 82      , Çırpıcı Mh. 2.Taşocağı Sk. No:56 Zeytinburnu İstanbul
 Belirtilmedi..,Magic Corn Bayilik Veriyor - Bayilik Franchise,  +(90) (216) 422 73 51-52      , Belirtilmedi..
 Belirtilmedi..,Hosta Franchise Veriyor - Bayilik Franchise,  (+90) 312 430 9352      , Belirtilmedi..
 İbrahim Candan,Chocenfes Çikolata Şelalesi Bayilik Veriyor,  05386667519      , Davutpaşa/Esenler/İstanbul
 sn. alaattin temiz,Temizler pide Franchise Veriyor - Bayilik Franchise,  0258/2128676      , Bursa cd. no 27-a kınıklı /denizli
 ,Tavuk Dünyası Franchise Veriyor - Bayilik Franchise,        , 
 Fatih Demir,Mr Kumpir Bayilik Veriyor - Bayilik Franchise,  +90 (212) 347  27  80 - +90 (530) 542  76  07      , Küçük Piyale Mah. Zincirlikuyu Cad. Kastel İş Merkezi B Blok No:26/6 Beyoğlu/İSTANBUL
 MUSTAFA ERTEN,DUŞACAM Bayilik Veriyor,  0216 377 66 33   0532 782 30 73      ," YAKACIK ÇARŞI MAHALLESİ, YAKAKENT CADDESİ NO: 25/A KARTAL/İSTANBUL"
 Erçin DELİBALTA,Sare Design 3D Yapı Dekorasyon Bayilik Veriyor,  544 806 6000      , Yavruturna mah.Kulasız Sk.No:17/B
 Haşmet Taşçıoğlu,Isorast - İzobeton Bayilik Veriyor,  0212- 6070400      , Bahçeşehir 2. Kısım Atatürk Bulv.13 A Başakşehir 34538 İstanbul
 Ergür Dokurlar,Slipdoctors Zemin Kaydırmazlık Bayilik,  05357812191      , Küçük Bakkalköy Mah.Merdivenköy Yolu Cad. Zorlu Sok. Tekar Yapı No:5 Kat:6 Daire:14 Ataşehir/İstanbul
 KADİR BÜLBÜL,GEOMAX Arazi Ölçüm Cihazı Bayilik,  0212 438 45 50      , Trump Towers 2. Kule Kat 18 Şişli/İstanbul
 PERVİN KÜÇÜK,LEXA Çelik Kapı ve Yangın Kapıları Bayilik,  0532 691 34 51      , Ankara Bölge Müdürlüğü: Green Business Center 22/20 Çukurambar / Ankara   -  Tokat Fabrika:Organize Sanayi Bölgesi 1.Kısım 4.Cd.No:8 TOKAT
 Mehmet Taymaz,Tasarım Fiber Panel Bayilik,  05076501956      , istanbul esenyurt
 GÜRBÜZ KUTLUAY,Holzplas Ahşap - PVC Pencere Sistemleri,  0 541 579 42 86      , 1.ORGANİZE SANAYİ BÖLGESİ SELÇUKLU / KONYA
 Ömer Büyüktortop,Zenon Panel Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0532 738 18 67      ," Kumburgaz, Büyükçekmece, İstanbul"
 ONUR,KVCPEN Bayilik Ve Bayilik Şartları,  05433958994 - 05382770902      , 1.Organize Sanayi Bölgesi 5 Nolu Cad. No:13 Gaziantep
 SAMİ DEMİRAY,ANTİSLİP Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0536 216 45 45      , 	
 Hakkı Ay,Flexart Gergi Tavan ve Duvar Sistemleri Bayilik Veriyor - Bayilik Franchise,  0 (505) 445 37 11      , Altınova Sinan Mah. Antalya Cad. No:119 ANTALYA
 Mustafa AYDEŞKİN,AYMİNA Bayilik Veriyor - Bayilik Franchise,  02582688566      , Sümer Mh. 3.san.sitesi 11.sk. No 33 DENİZLİ
 Emre Torun,Kapsam Yapı Kimyasalları Ltd. Şti. Bayilik Veriyor - Bayilik Franchise,  0346 223 94 14      , Gökmedrese mah. Örtmeli Sok No 10 Sivas
 Hakan AKSOY,Evim Prefabrik Bayilik Veriyor - Bayilik Franchise,  0553 505 81 51      , Manisa
 A.Kemal Güneu,Beka Grup Dış Tic.Ltd. Şti Bayilik Veriyor - Bayilik Franchise,  0212 643 98 25      , Merkez Mah. Ulubatlı Hasan Sok.
 Derya Demir,3d Lider Yapı Bayilik Veriyor,  05434545955      , Ertugrul mahallesi ihsaniye sok.no:7A tekirdağ
 Gökhan GÖKTAŞ,Fly Boya Bayilik Veriyor,  0352 322 10 18      , Kayseri Organize Sanayi Bölgesi 41.Cad. No:1
 Satış-Pazarlama Departmanı,INSULADD ISI YALITIM SİSTEMLERİ Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0232-446-9083      , Akdeniz Caddesi Akdeniz İş Merkezi No: 5/710 Konak / İZMİR
 Sinan Köse,Tasarım Sizsiniz Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0216 545 50 20      , özbey cad no79/81B KADIKÖY/İstanbul
 Fatih Tiryaki,Nokta Duşakabin Bayilik Veriyor - Bayilik Franchise,  0212 504 91 47 0538 327 39 10      , SİYAVUŞPAŞA MAH FERİTSELİMPAŞA CADDESİ SIRAEVLER SOKAK NO :30 BAHÇELİEVLER İSTANBUL
 MERVE KADIK,OCEA Sıhhi Tesisat Malzemeleri Bayilik,  0533 455 77 63      , İsTANBUL
 Selim Metin,Glasstech Cam Balkon Sistemleri Bayilik Veriyor,  0312 353 3199      , Ereğli Cd. No: 73 /B Siteler/ANKARA
 Bülen Tekin,Mar Dış Ticaret Ltd.Şti. Bayilik Veriyor - Bayilik Franchise,  0212 540 76 76  Dahili : 114      , Florya
 Mehmet Aktaş,PAMUKAP DUVAR VE TAVAN KAPLAMASI Bayilik Veriyor,  0232-2750101      , 671/1 sok:no:14/14A Gediz.mah.Buca/ İZMİR
 Bülent KAYA,Kayhan Çelik Kapı Bayilik Veriyor,  (352) 311 39 76      , OSMAN KACUNCU SAN.SİT. 
 Mustafa Korbo,Korbo 3d Dünyası Bayilik Veriyor,  02566129232 -05436845210      , Dağ mahallesi lale sokak no 2  Kuşadası Aydın
 Sibel ERGİN,FİXKİM Bayilik Veriyor,  444 34 67 -0216 394 8800      , TUZLA DERİ ORGANİZE SANAYİ BÖLGESİ 3. YOL H-21
 .,Bulgurium Bayilik Veriyor,  0.342 238 25 15      , Gatem Bulgurcular Sitesi 115 Nolu Cd. D-Blok
 abdullah çakır,Yaşar Çarlının Dondurma Evi (Dondurmacı Yaşar Usta) Bayilik,  0533 626 66 16      , oto sanayi arkası ulubaş cad no 68/4 kağıthane istanbul
 CUMA ERCAN BAŞTÜRK,Hazal Cafe Restourant Bayilik Veriyor Bayilik Veriyor - Bayilik Franchise,  0258 242 27 27 CEP: 05337722712      , DELİKLİÇINAR MAH 884 SK ÇINAR MEYDANI HAZALLAHMACUN VE KEBAP SALONLARI
 ERMAN EREN,Meşhur Safranbolu Lokumcusu Bayilik,  216 4411082      , TUGAY YOLU ZUHAL CAD. NO: 79/1 MALTEPE İSTANBUL
 NURETTİN TÜRKOĞLU,Faroz Süt Ürünleri Bayilik Veriyor,  0 462 227 52 00      , YAYLACIK MAH. DÜZKÖY CAD. NO169 AKÇAABAT/TRABZON
 Tuncay Bey,Balegra Bal Bayilik Veriyor,  05323203152      , Samur mah.tekkiraz cad.no/32 kumru /ORDU
 Mehmet GÖKDUMAN,Balkarlı Yöresel Lezzetler Bayilik Veriyor,  04167933030-05325463388      , Organize sanayi bölgesi No:150/8 Gölbaşı/Adıyaman
 BEKİR KARADABAN,Pide Dünyası Bayilik Veriyor,  02583732223      , MERKEZ EFENDİ MAH FATİH CAD NO 48
 Ali Altunbaş,KREPTON Franchise Veriyor - Bayilik Franchise,  0533 2944346      ," Profilo AVM, Kat:3 No:305 Krepton mağazası"
 DURMUŞ ALİ ÇİZMECİ,Sandalcı Bayilik Veriyor - Bayilik Franchise,  03323427333      , BÜSAN SANAYİ BÖLGESİ NO:28/D
 Hüseyin İrfan KUYUCU,TONTİ PİKNİK Bayilik Veriyor,  03422256225      , Bozoklar Mah. Demokrasi Blv. No.158 Şahinbey GAZİANTEP
 OSMAN ÜÇGÜL,ÇÖP ŞİŞ KEYFİ Franchise Veriyor - Bayilik Franchise,  05323938656      , 55 SOK. TERASPARK AVM YENİŞEHİR DENİZLİ
 Yavuz Güneş,Ege Çöp Şiş Franchise Veriyor - Bayilik Franchise,  0 (216) 589-1167      , Zümrütevler Mah. Adalar Sok. No:11
 MEMET EYYÜP KESKİN,Keskindede  Lokumculuk Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  2124970552      , MERKEZ  MAH EVREN SOK GAZİOSMAN PAŞA/İSTANBUL
 Mehmet Poyraz,Kurucum Gıda Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  02462330790      , gül sanayi sitesi J ada 3.blok no:3
 Eda Arslan,Burak Lavaş Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0212 475 02 49      , Esentepe Mah. G.O.P. Küçük San. Sit. 2.blok No:12/A
 Abidin Kamer Özdiler,Coffee Riva Franchise Veriyor - Bayilik Franchise,  05327771753      , Şehit hamit fendoğlu caddesi no:7
 Mehmet Öztekin,CHICKEN HOUSE Franchise Veriyor - Bayilik Franchise,  5327124692      , Çarşı yapı B blok no 15 İzmit -Kocaeli
 Aynur Şaman,Cleanice Bayilik Veriyor - Bayilik Franchise,  02126202211      , inönü mah 360 sok 5/b esenyurt
 Abdullah Koçoğlu,ŞOVDO | ŞOVLU DONDURMA Franchise Veriyor - Bayilik Franchise,  (0 212) 505 11 00      , ŞOVDO MERKEZ OFİS | PERLAVİSTA RESIDANCE | Adnan Kahveci Mah. Yavuz Sultan Selim Blv. B-Blok Kat:12 Daire:119 | Beykent - Beylikdüzü - İSTANBUL
 İSMAİL ADALI,TARPAZ TARİŞ Üzüm Birliği Kuruluşu Franchise Veriyor - Bayilik Franchise,        , 5748 SK. NO.27 BORNOVA İZMİR
 Hakan Şahin,Dönergene Franchise Veriyor - Bayilik Franchise,  05324320238      , İdealtepe Mah. Dik Sokak Küçükvar Plaza No: 23 Kat:3 Küçükyalı Maltepe İstanbul Turkey
 Samet Ayten,Pidexpress Franchise Veriyor - Bayilik Franchise,  212 211 68 67      , Profilo AVM Mecidiyeköy
 BARIŞ DENİZ AKBAŞ,BENSUN SUNAR Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0312 397 14 33      , Çamlıca mah. 145 sokak Dimas İşyerleri sitesi 5.blok 6/c Macunköy / ANKARA
 Fatih Tolga Posluoğlu,Waffleius Franchise Veriyor - Bayilik Franchise,  5079294673      , Demetgül Mah. 419 Sok. 19/A Yenimahalle ANKARA
 DİLEK AY,DREAM CANDY DT ŞEKERLEME Bayilik Veriyor,  05558021444      , MERTOÇ ÖZGÜRLÜK MAH.154.CAD.AKDENİZ /Mersin
 fettah erdem,Rummani chiken world Franchise Veriyor - Bayilik Franchise,  5327781269      , antakya hatay
 Bülent ÖZÇETİN,Sihirli Elmalar Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  + 90 (212) 202 53 00      , Garanti Koza Çarşısı Vişne 1 Mah.No:10  Zekeriyaköy/Sarıyer/ İstanbul
 Yavuz Karabulut,karhelvasi.com Franchise Veriyor - Bayilik Franchise,  05443319345      , Aydoğdu Mh. Ziya gökalp Cad. No:2208 Nazilli
 Engin Yalçın,YogoCups Franchise Veriyor - Bayilik Franchise,  0312-441-71-07      , Cinnah Caddesi Pilot Sokak No:17/3 Çankaya – Ankara
 Tacettin Kaleli,Makarna's Franchise Veriyor - Bayilik Franchise,  0532 221 61 36      , Dünya Ticaret Merkezi B3 Blok No:9 Yeşilköy İSTANBUL
 Murat Gayberi,mm&g's burger Franchise Veriyor - Bayilik Franchise,  0216 456 75 40      , Battalgazi Mah.AYTOP gıda sitesi.H Blok No:4 Sultanbeyli
 Ahmet BAKIR,Sini Ev Böreği - Baklava Franchise Veriyor - Bayilik Franchise,  0 312 397 83 43      , Erciyes İşyerleri Sitesi 201. Cad. N:10  Macunköy-Yenimahalle / Ankara
 Zeynel BUDAK,Afyon İpek Sucukları Bayilik Veriyor - Bayilik Franchise,  02722211721      , Organize sanayi bölgesi 1. cad. 6. sok. no:9 İpek Sucukları AFYONKARAHİSAR
 Hakan Akkuş,Panci Roti Franchise Veriyor - Bayilik Franchise,  0532 154 98 40      , Halk Caddesi No: 8/A Kat:2  Ataşehir – İstanbul
 Mehmet Aydinlar,AYDÖNER Franchise Veriyor - Bayilik Franchise,  (0256) 512 00 32      , Atatürk Mah. Aydın Yolu No: 216 Söke / Aydın / Turkey
 Sevilay Yılmaz,Narince Asma Ürünleri Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  05065832389      , İletişim:Necip fazıl mh. Gaffar Okkan cd. 6-K/12 Dudullu-Ümraniye-İstanbul
 ATİLLA.ERDURAN,Birlik Ekmek - Unlu Mamüller Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  05339569241      , ORGANİZE SANAYİ BÖLGESİ ALANYA YOLU ÜZERİ 2.KM MANAVGAT / ANTAL YA
 Sinan,Asberk Gıda,  0507 225 96 86/0338 217 42 42      , Tapduk Emre Mh.1544.Sk No:55/A
 Özkan Bahadır,Tarz Metal - Mısır Arabası Pamuk Şeker Arabası Bayilik,  02164724716      , Yeni Sahra  Mah. Fatih Cad. Odabaşı Sok. No:32
 Kaan Bilbay,Chickie Bayilik Ve Bayilik Şartları,  (212) 522 79 89      , Rococo Center 503 Tığcılar Sokak Mercan Istanbul
 Burcu Erdem,CorndogX Bayilik Ve Bayilik Şartları,  02164889157      , Küçükyalı Merkez Mah. Emek Sok Ali Aral Apt Dükkan 5 Küçükyalı MALTEPE İST
 ZİYA GEDİZ,KOCAhmet Süt Ürünleri Bayilik,  5324063415      , YEŞİLYAYLA KÖYÜ NO:167 MERKEZEFENDİ DENİZLİ
 İlay Tepgeç,New King Sos Bayilik,  3224287920      , Yeşiloba Mah. 5 Sk. No:7 Seyhan / ADANA Telefon: 0 322 428 79 20      Fax:  0 322 428 35 47
 Ahmet Kargın,Mısırcan ve Pamukcan Bayilik Veriyor,  0216 471 75 71      , girne mah.narlıdere cad.çınar sok.no;10 maltepe/istanbul
 Berk Gülher,Ahmet Yanturalı Et Mamülleri Bayilik Veriyor,  0533 718 37 08      , Gümüşçeşme Mh. Gökdeniz Cd. 158. Sk No:12/A Merkez/BALIKESİR
 Erhan Akarsu,Naz Fruit Juice Bayilik ve Bayilik Şartları,  05524245480      , Yenigöl mah filiz sok n0 11/6 Antalya
 ERKAN POLAT,Elbistan Kervansaray Kahve Bayilik Bilgileri,  05326317847      , ELBİSTAN
 AHMET PÜREN,Kar Damla Zeytin Yağı Bayilik Veriyor,  0535 510 85 57      , Yağmur Gıda Şakirpaşa Mahallesi 42119 Sokak Uğurlu İş Merkezi Garanti Bankası Yanı Seyhan / ADANA
 KORAY ERUĞUZ,Pide House Bayilik Şartları- Bayilik İletişim,  05425542341      , izzettin çalışlar cad karikaturist ramiz sok no:3/a BAHÇELİEVLER İSTANBUL
 Emrihan Aydın,YOOOGURT Bayilik Franchise Bilgileri,  0533 213 00 41      , WTC-ANKARA
 Mahmut Atar,Fruitflowers Bayilik Veriyor,  (0216) 452 30 03 / 0541 615 01 77      , Cumhuriyet mah Kartal cad no:77/3 Yakacık Kartal İstanbul
 Murat Pınaroglu,Can Diyet Unlu Mamüller Bayilik Veriyor,  +90 312 372 82 82      ," Küçük Kayaş Mahallesi, Şehit Bayram Tekin Sokak, No:2/B (Hicret Camii altı) Mamak-ANKARA"
 MUSA KARAKAYA,Rozette Patisserie Bayilik Veriyor,  5321334631      , GAZİEMİR İZMİR
 Halit Haliloğlu,Van Kahvaltı Sarayı Bayilik Veriyor,  05325249306      , incilipınar mah.nail bilen cad.no:36 şehitkamil-GAZİANTEP
 İSMAİL SALMAN,Pizza Real Bayilik Veriyor,  05325694015      , FUZULİ CADDESİ  MALATYA MERKEZ
 BAHADIR OBUZ,AYTANZADE LOKUMLARI Bayilik Veriyor,  0212 485 33 23      , I.O.S.B. MUTSAN SAN. SIT M1 NO 21/23 IKITELLI BASAKSEHİR İSTANBUL
 Ayten ATASOY,Iceberry Dondurulmuş Yoğurt Bayilik,  0533 607 04 87      , Bağdat Caddesi No458/4 Maltepe/İstanbul
 Nursah Tumbaser,Köycek Kaymak Bayilik Veriyor,  534 070 57 56      , Terzialiler mah hurriyet sok no 28 mugla/ortaca
 ONUR OĞUZLAR,Marasta Dondurma Bayilik Veriyor,  0 533 480 11 80-0 344 237 77 70      , İstasyon Mahallesi 78014 sokak No:23/A KAHRAMANMARAŞ
 Ahmet AYAZ,Ayaz Pastaneleri Bayilik,  0 262 3112320/ 0 533 3788137      , Yenişehir Mah. Demokrasi Bulvarı No:25 İzmit/KOCAELİ
 Ali Akgün,Eyup Sultan Tulumbacısı Bayilik,  0532 227 61 12      , Fevziçakmak mah marmara  cad
 Engin Toraman,Mado Bayilik,  0 344 236 06 11      , G.Antep Yolu Erkenez Mevkii 5. Km Kahramanmaraş
 Selçuk GÖK,Garip Usta Franchise Veriyor - Bayilik Franchise,  0212 422 26 05 / 0212 422 41 37 / 0533 476 01 30      , Cihangir Mh. Ulubaş Cd. No:1 Avcılar / İSTANBUL
 Tahir Haytoğlu,ci gusta! Bayilik,  216.510 10 94 cep tel: 0533.769 68 60      ," Barbaros Mah. Sümbül Sok. Deluxia Palace A Blok, K:13, D:365 ataşehir-İstanbul"
 MUSTAFA ERMAN TURKKAN,Tek Şalgam Suyu Bayilik Veriyor,  0.322.3594974      , SARIHAMZALI MAHALLESİ 47091 1. BLOK B.16 SEYHAN ADANA
 Can Pehlivanoğlu,Milkomilk Günlük Süt Satışı Bayilik Veryior,  0532 225 69 89      , Cumhuriyet mahallesi / Yunus sokak /  2 - 8  Silivri / İstanbul
 Meye Bilişim A.Ş.,MEYE Kamera ve Güvenlik Sistemleri Bayilik Veriyor,  0850 303 63 93      , KArslı Ahmet cad. içerenköy plaza no :2 K:6 D:14
 Koray ÇELİKLER,Dola Holland Waffles Bayilik Veriyor,  05332870466      , Gültepe Mah. 107 Cad. No: 102 Altındağ Ankara/TURKEY
 RUKİYE GÜNCAN,DÜRDÜM Lahmacun - Kebap Bayilik Veriyor,  0506 407 97 48      , Huzur mahallesi Arkan caddesi 
 YILDIRIM ŞELE (Pazarlama ve satış müdürü),Sultannas Sağlıklı Gıda Dükkanı Bayilik Veriyor,  05425256144      , TEŞVİKİYE MAH.HÜSREVGEREDE CAD.FIRIN  SOK.NO:3/C ŞİŞLİ/İSTANBUL
 EZGİ ÇAKAN,Yenice Kerimoğlu Sucuk - Kavurma Bayilik Veriyor,  0546 823 75 90      , HÜRRİYET MAHALLESİ MAREŞAL FEVZİ ÇAKMAK CADDESİ NO:60 YENİCE BELDESİ PINARHİSAR/KIRKLARELİ
 Mehmet Ali Yazıcıoğlu ,OHANNES BURGER Franchise Veriyor - Bayilik Franchise,  505 525 0647      , KAZIM DİRİK MAH. 162 SOK. NO:14 KÜÇÜKPARK-BORNOVA İZMİR
 Mustafa Özyigit,Koçet Sucuk Bayilik Veriyor,  05454475541      , yeni mahalle ögretmenler bulv no 21
 CEM AKDAĞ,Tuğra Tatlıcılık Bayilik Veriyor,  0 374 2534774      , AŞAĞI KARAKÖY MH.1 SK.NO:2/1 BOLU
 İRFAN AKAR,Rodillo Boyoz Bayilik Veriyor,  0 232 463 04 18      , Seferihisar Cad. Yelki Mah. 2730 Sok. No:117/A Güzelbahçe - İzmir
